"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"ABCA3",0.259,0.894022307519264,0.3,0.89,"0.3","0.89","NS",NA
"ABCB10",0.125,0.922924997697685,0.1,0.92,"0.1","0.92","NS",NA
"ABCB6",-0.186,NA,-0.2,NA,"-0.2",NA,"NS",NA
"ABHD5",-1.69,0.491287101336694,-1.7,0.49,"-1.7","0.49","NS",NA
"ACE2",4.03,0.350676215098974,4,0.35,"4.0","0.35","NS",NA
"ACOT13",0.0243,0.989016353817681,0,0.99,"0.0","0.99","NS",NA
"ACTMAP",-0.618,0.241789009654467,-0.6,0.24,"-0.6","0.24","NS",NA
"ADAM9",0.164,0.86189989708305,0.2,0.86,"0.2","0.86","NS",NA
"ADAMTS1",0.336,0.470561204458219,0.3,0.47,"0.3","0.47","NS",NA
"ADD1",0.018,0.986420481873453,0,0.99,"0.0","0.99","NS",NA
"ADGRG6",0.0567,NA,0.1,NA,"0.1",NA,"NS",NA
"AGA",0.617,NA,0.6,NA,"0.6",NA,"NS",NA
"AHDC1",0.224,0.756227045078238,0.2,0.76,"0.2","0.76","NS",NA
"AIFM2",-5.23,0.00413927080003351,-5.2,0,"-5.2","<0.01","Down",NA
"AIRIM",-0.25,0.889171174311822,-0.2,0.89,"-0.2","0.89","NS",NA
"AKAP7",-4.9,0.173042971351746,-4.9,0.17,"-4.9","0.17","NS",NA
"AKIRIN2",0.657,0.491283989941256,0.7,0.49,"0.7","0.49","NS",NA
"ALDH18A1",1.08,0.17863957665347,1.1,0.18,"1.1","0.18","NS",NA
"ALDH1L2",0.643,0.0521552482596013,0.6,0.05,"0.6","0.05","NS",NA
"ALG1",0.355,0.723174277721763,0.4,0.72,"0.4","0.72","NS",NA
"ALKBH8",1.69,NA,1.7,NA,"1.7",NA,"NS",NA
"AMFR",0.675,0.0361936170914505,0.7,0.04,"0.7","0.04","NS",NA
"AMMECR1",6.17,1.5041516865095e-05,6.2,0,"6.2","<0.01","Up",NA
"AMOT",0.662,0.293692621271936,0.7,0.29,"0.7","0.29","NS",NA
"AMOTL1",0.786,0.085734024315816,0.8,0.09,"0.8","0.09","NS",NA
"ANAPC16",0.204,0.818185340931595,0.2,0.82,"0.2","0.82","NS",NA
"ANAPC4",-0.13,0.868806856236646,-0.1,0.87,"-0.1","0.87","NS",NA
"ANGEL1",-0.00446,0.999717839047565,0,1,"-0.0","1.00","NS",NA
"ANKLE2",0.725,0.0723025261186144,0.7,0.07,"0.7","0.07","NS",NA
"ANXA4",-0.0667,0.930976981694639,-0.1,0.93,"-0.1","0.93","NS",NA
"APLP1",0.31,NA,0.3,NA,"0.3",NA,"NS",NA
"APLP2",0.291,0.791486081872275,0.3,0.79,"0.3","0.79","NS",NA
"APOA1",0.3,0.783577319991431,0.3,0.78,"0.3","0.78","NS",NA
"APOC3",-0.273,NA,-0.3,NA,"-0.3",NA,"NS",NA
"APOE",0.219,0.856773547399328,0.2,0.86,"0.2","0.86","NS",NA
"APOH",-0.458,NA,-0.5,NA,"-0.5",NA,"NS",NA
"APP",0.088,0.954769553140451,0.1,0.95,"0.1","0.95","NS",NA
"ARB2A",0.0363,0.989016353817681,0,0.99,"0.0","0.99","NS",NA
"ARF3",-1.35,NA,-1.4,NA,"-1.4",NA,"NS",NA
"ARL5B",7.1,0.000252045657635991,7.1,0,"7.1","<0.01","Up",NA
"ARL6IP1",-0.129,0.955286091061073,-0.1,0.96,"-0.1","0.96","NS",NA
"ARMC7",-0.0507,0.989859291679362,-0.1,0.99,"-0.1","0.99","NS",NA
"ART5",-3.83,5.47782526214049e-10,-3.8,0,"-3.8","<0.01","Down","ART5"
"ASPRV1",0.0336,0.997631493640014,0,1,"0.0","1.00","NS",NA
"ATAD5",0.542,0.170952857004704,0.5,0.17,"0.5","0.17","NS",NA
"ATF3",-1.2,0.0897115947393127,-1.2,0.09,"-1.2","0.09","NS",NA
"ATF4",-1.78,0.0644468071293527,-1.8,0.06,"-1.8","0.06","NS",NA
"ATP5MK",0.815,0.0724314666970824,0.8,0.07,"0.8","0.07","NS",NA
"ATP6V0D2",0.0883,0.985226794258108,0.1,0.99,"0.1","0.99","NS",NA
"ATP6V1D",-0.169,0.703896976515609,-0.2,0.7,"-0.2","0.70","NS",NA
"ATR",0.0587,0.985635744360642,0.1,0.99,"0.1","0.99","NS",NA
"B3GALNT2",-5.13,0.0561127345537547,-5.1,0.06,"-5.1","0.06","NS",NA
"B4GALT5",0.474,0.648227517052719,0.5,0.65,"0.5","0.65","NS",NA
"B4GALT6",-2.1,0.0826094803126854,-2.1,0.08,"-2.1","0.08","NS",NA
"B9D1",-5.59,8.06195736187066e-07,-5.6,0,"-5.6","<0.01","Down",NA
"BACE1",0.46,NA,0.5,NA,"0.5",NA,"NS",NA
"BCL2L12",0.447,0.838857347608182,0.4,0.84,"0.4","0.84","NS",NA
"BCOR",0.58,0.150059218406623,0.6,0.15,"0.6","0.15","NS",NA
"BIRC2",0.0242,0.99339993508904,0,0.99,"0.0","0.99","NS",NA
"BLM",0.307,0.450878129450079,0.3,0.45,"0.3","0.45","NS",NA
"BLOC1S4",0.0524,0.975186271824638,0.1,0.98,"0.1","0.98","NS",NA
"BMP2",1.23,NA,1.2,NA,"1.2",NA,"NS",NA
"BMP4",-5.04,0.000672321167325563,-5,0,"-5.0","<0.01","Down",NA
"BMPR2",1.72,NA,1.7,NA,"1.7",NA,"NS",NA
"BNIP3",1.87,NA,1.9,NA,"1.9",NA,"NS",NA
"BOD1",0.448,0.788808155621028,0.4,0.79,"0.4","0.79","NS",NA
"BORCS6",0.796,0.123026857252302,0.8,0.12,"0.8","0.12","NS",NA
"BPGM",-0.0983,0.929920066723982,-0.1,0.93,"-0.1","0.93","NS",NA
"BPNT2",1.06,0.0108187831883686,1.1,0.01,"1.1","0.01","NS",NA
"BRI3",-5.57,3.61549170001436e-06,-5.6,0,"-5.6","<0.01","Down",NA
"BRI3BP",0.128,0.824723237118684,0.1,0.82,"0.1","0.82","NS",NA
"BRWD3",0.228,0.758158596219288,0.2,0.76,"0.2","0.76","NS",NA
"BTBD9",1.72,0.803768015957499,1.7,0.8,"1.7","0.80","NS",NA
"BTN2A3P",1.97,0.749651434682788,2,0.75,"2.0","0.75","NS",NA
"C1orf159",3.38,0.107975356489801,3.4,0.11,"3.4","0.11","NS",NA
"C1orf198",0.537,0.431613501023453,0.5,0.43,"0.5","0.43","NS",NA
"C2CD2L",0.973,0.196136602418695,1,0.2,"1.0","0.20","NS",NA
"C4A",-1.13,NA,-1.1,NA,"-1.1",NA,"NS",NA
"C4BPA",-0.577,NA,-0.6,NA,"-0.6",NA,"NS",NA
"C6orf89",0.187,0.880734151727609,0.2,0.88,"0.2","0.88","NS",NA
"C8orf88",0.0764,0.994685318667484,0.1,0.99,"0.1","0.99","NS",NA
"C9orf72",-2.45,0.663727778546461,-2.5,0.66,"-2.5","0.66","NS",NA
"CABIN1",0.541,0.444100432604795,0.5,0.44,"0.5","0.44","NS",NA
"CALCOCO2",0.389,0.663727778546461,0.4,0.66,"0.4","0.66","NS",NA
"CAMKK1",-0.492,0.424856818925783,-0.5,0.42,"-0.5","0.42","NS",NA
"CARMIL2",0.637,0.502439729308334,0.6,0.5,"0.6","0.50","NS",NA
"CASTOR2",0.128,0.961603666623401,0.1,0.96,"0.1","0.96","NS",NA
"CBY1",0.503,0.618171990957656,0.5,0.62,"0.5","0.62","NS",NA
"CCDC106",0.723,0.134586554712093,0.7,0.13,"0.7","0.13","NS",NA
"CCDC120",0.106,0.989016353817681,0.1,0.99,"0.1","0.99","NS",NA
"CCDC138",-0.194,NA,-0.2,NA,"-0.2",NA,"NS",NA
