"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030036","actin cytoskeleton organization","30/157","399/7610",0.075187969924812,3.64446147215172,7.87542503282585,4.17101709845806e-10,9.32639423215222e-07,9.30356340171856e-07,"WASF2/ARRB1/CAPG/CAPZB/CD2AP/CFL1/CNN2/CNN3/CRK/DBNL/ENAH/EVL/FLNA/FLNB/FLNC/INF2/LIMD2/LMOD1/MTPN/NEBL/PACSIN2/PDLIM3/PFN3/PHACTR2/SHROOM1/TAGLN3/WASH6P/WASHC2A/WASHC2C/WASL",30
"GO:0030029","actin filament-based process","30/157","433/7610",0.069284064665127,3.35829128727144,7.33361284793419,2.97200411636646e-09,2.71413326533237e-06,2.707489120252e-06,"WASF2/ARRB1/CAPG/CAPZB/CD2AP/CFL1/CNN2/CNN3/CRK/DBNL/ENAH/EVL/FLNA/FLNB/FLNC/INF2/LIMD2/LMOD1/MTPN/NEBL/PACSIN2/PDLIM3/PFN3/PHACTR2/SHROOM1/TAGLN3/WASH6P/WASHC2A/WASHC2C/WASL",30
"GO:0007015","actin filament organization","23/157","264/7610",0.0871212121212121,4.22288168307277,7.7351532291918,3.64150259212751e-09,2.71413326533237e-06,2.707489120252e-06,"WASF2/ARRB1/CAPG/CAPZB/CD2AP/CFL1/CNN2/CNN3/ENAH/EVL/FLNA/INF2/LIMD2/LMOD1/MTPN/NEBL/PFN3/SHROOM1/TAGLN3/WASH6P/WASHC2A/WASHC2C/WASL",23
"GO:0097435","supramolecular fiber organization","28/157","466/7610",0.0600858369098712,2.91244088461223,6.18384097464245,2.3030143722564e-07,0.000128738503409133,0.000128423354073982,"NDEL1/WASF2/ARRB1/CAPG/CAPZB/CD2AP/CFL1/CNN2/CNN3/ENAH/EVL/FLNA/FLNC/HAUS4/INF2/LIMD2/LMOD1/MTPN/NCKAP5L/NEBL/PFDN6/PFN3/SHROOM1/TAGLN3/WASH6P/WASHC2A/WASHC2C/WASL",28
"GO:0008154","actin polymerization or depolymerization","12/157","120/7610",0.1,4.84713375796178,6.16502806577731,6.02400337603648e-06,0.00269393430976351,0.0026873396113308,"CAPG/CAPZB/CD2AP/CFL1/ENAH/EVL/INF2/LMOD1/MTPN/PFN3/WASHC2C/WASL",12
"GO:0030041","actin filament polymerization","10/157","101/7610",0.099009900990099,4.79914233461563,5.57831785648138,4.02250196081879e-05,0.0149905239739847,0.0149538274648684,"CAPG/CAPZB/CD2AP/EVL/INF2/LMOD1/MTPN/PFN3/WASHC2C/WASL",10
"GO:0032970","regulation of actin filament-based process","14/157","214/7610",0.0654205607476635,3.1710220846479,4.67542112076922,0.000126358124367856,0.0391322467910354,0.0390364518172507,"WASF2/CAPG/CAPZB/CD2AP/CNN2/CRK/EVL/FLNA/LMOD1/MTPN/PFN3/WASH6P/WASHC2A/WASHC2C",14
"GO:0030042","actin filament depolymerization","6/157","40/7610",0.15,7.27070063694268,5.77093498523147,0.000150560334108061,0.0391322467910354,0.0390364518172507,"CAPG/CAPZB/CFL1/LMOD1/MTPN/WASHC2C",6
"GO:0051258","protein polymerization","13/157","192/7610",0.0677083333333333,3.28191348195329,4.64787491576578,0.0001575090434344,0.0391322467910354,0.0390364518172507,"NDEL1/CAPG/CAPZB/CD2AP/EVL/HAUS4/INF2/LMOD1/MTPN/PFN3/UBE2K/WASHC2C/WASL",13
"GO:0032956","regulation of actin cytoskeleton organization","13/157","196/7610",0.0663265306122449,3.21493565579098,4.55943382599808,0.000193464144421308,0.0432585826926044,0.0431526865293423,"WASF2/CAPG/CAPZB/CD2AP/CRK/EVL/FLNA/LMOD1/MTPN/PFN3/WASH6P/WASHC2A/WASHC2C",13
