"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
NA,"Direct GO Biological Processes","GO:0032543","mitochondrial translation",92,59,3.189,2.7902,1.48,2.8451775918085e-17,16.5458906203988,7.11294397952124e-14,3.95163554417847e-15,3.31995145282893e-14,"MRPL37,MRPL39,MRPL14,MRPL34,MRPL28,MRPL53,MRPL15,MRPL10,MRPS18C,MRPL35,MRPS10,MRPS11,MRPL58,MRPL44,MRPL46,MRPS7,MRPS23,MRPL17,MRPL40,MRPL33,MRPL43,MRPL13,MRPL51,MRPL16,MRPS26,MRPL32,MRPS30,MRPL54,MRPL22,MRPL55,MRPL2,MRPS17,MRPS22,MRPS9,MRPL23,MRPS34,MRPS28,MRPS2,MRPS33,MRPS25,MRPL38,MRPL19,GADD45GIP1,MRPL18,MRPL27,MRPL20,MRPS15,MRPL11,MRPL3,CHCHD1,MRPS16,MRPL21,MRPL4,MRPL48,MRPS35,MRPS6,DAP3,MRPL45,MRPS18B","14034,14027,14279,14488,14484,16684,14054,14055,16633,14489,14502,14050,5359,16650,1192,14499,14509,14053,14491,14487,14517,14278,14044,14476,14045,14035,8769,16685,14480,16686,14056,14047,14508,14501,10322,16618,14513,14495,16634,14511,14033,14052,29996,14477,14483,14478,14504,14042,10379,23518,14048,14479,14276,16653,16635,14051,2673,16651,14516"
NA,"Direct GO Biological Processes","GO:0006412","translation",272,115,6.216,1.8395,0.879,4.99741830495338e-13,12.3012542967592,1.24935457623834e-09,1.8647083227438e-11,1.56662754851359e-10,"MRPL10,EIF1AX,RPL4,RPL22,RPL31,RPL35,RPS2,MRPS18C,RPS12,MRPL51,RPS19,MRPL20,RRBP1,MRPL19,MTIF3,FAU,RPL8,RPL24,MRPL32,RACK1,RPL36AL,MRPL13,RPS4X,MRPL4,RPS15,MRPS17,RPS24,MRPS15,DENR,MTRFR,RPSA,RPL13,RPL30,COPS5,RPL36A,MRPL22,RPS9,PAIP2,RPS17,SARS2,RPS27,MRPS6,RPL23,MRPL55,EIF4B,RPL5,RPL23A,RPL34,EIF1,MRPS18B,RPS3,RPS27L,RPS13,MRPL27,RPS20,MRPL17,SARS1,MRPL11,MRPL21,MRPL58,RPL11,RPL26,MRPL28,RPL37A,MRPL18,RPS5,MRPS7,RPS15A,MRPS23,RPS25,MRPS11,EIF3C,MRRF,DHPS,NACA,RPL21,RPL29,MRPL3,RPLP2,MRPS16,RPS10,MRPL37,RPS18,MRPL16,RPS28,MRPL34,MRPL33,RPL22L1,EIF5A,RPL7A,MRPL23,EIF1B,RPL35A,MCTS1,RPS3A,MRPL2,RPS14,MRPL35,RPS21,MRPL14,EIF4H,MRPL43,EIF6,RPL12,RPL27,MRPS30,RPL38,MRPL15,RPS7,MRPS2,RPS16,MRPS33,RPS26,MRPS9,EIF3J","14055,3250,10353,10315,10334,10344,10404,16633,10385,14044,10402,14478,10448,14052,29788,3597,10368,10325,14035,4399,10346,14278,10424,14276,10388,14047,10411,14504,2769,26784,6502,10303,10333,2240,10359,14480,10442,17970,10397,17697,10416,14051,10316,16686,3285,10360,10317,10340,3249,14516,10420,18476,10386,14483,10405,14053,10537,14042,14479,5359,10301,10327,14484,10348,14477,10426,14499,10389,14509,10413,14050,3279,7234,2869,7629,10313,10331,10379,10377,14048,10383,14034,10401,14476,10418,14488,14487,27610,3300,10364,10322,30792,10345,23357,10421,14056,10387,14489,10409,14279,12741,14517,6159,10302,10328,8769,10349,14054,10440,14495,10396,16634,10414,14501,3270"
NA,"SLIM2 GO BP","GO:0006412","translation",566,202,10.919,1.5528,0.635,8.11095029002682e-13,12.0909282602725,2.02773757250671e-09,2.93875010508218e-11,2.46897963432939e-10,"ALKBH5,DDRGK1,RPS4X,EIF3J,SLBP,RPS15,MRPS30,RPLP2,RPS24,MRPL22,RPS3,RWDD1,RPL12,RACK1,COPS5,RPL31,ALKBH3,MRPL16,UQCC2,MRPS26,HSPB1,MRPL32,MRPL54,CSNK2A1,MRPL51,MRRF,RPL36AL,UNK,UPF3B,RPS9,MRPL23,ATF4,RPS17,MRPS28,GAPDH,RPS27,RPL4,TARBP2,DHPS,RPL23A,METAP1,EIF4H,MRPS22,RPL26,MRPS9,METAP2,MRPS34,MRPL55,MRPL2,NCL,MRPS17,ELAC1,RPS2,PML,EIF1AD,RPS13,MRPL19,RPS20,MRPL18,PKM,RPL23,RPL8,QKI,NACA,RPL30,ZNF706,C1QBP,MRPS25,AKT1S1,MRPL38,FAU,GADD45GIP1,CALR,MRPS2,RIDA,MRPS33,PYM1,ITGA2,RPS5,MRPL58,SRP9,RPS15A,MRPL3,SH3BGRL,RPS25,SHMT1,ZC3H15,RPL13,CASC3,RPS27L,RPL34,PPP1CA,MRPL20,APEH,MRPS15,EIF1,MRPL11,CHCHD1,MRPS16,IGFBP5,MRPL27,RCHY1,RPL37A,LSM14B,AJUBA,RPS10,DAP3,RPS18,MRPS18B,CNOT3,RPS28,RPL5,TCOF1,EIF1AX,RPL24,ZNF385A,DENR,MRPS35,RPL22,MRPS6,CNBP,MRPL45,MRPL21,MRPL4,YBX1,MRPL48,PAIP2,SAYSD1,RPS3A,EIF3C,LTO1,RPS14,MRPL28,EIF5A,RPS21,MRPL15,RPL38,RPL35,RPL11,RBM8A,RRBP1,RPL29,MTIF3,MRPL39,NGRN,MRPL14,C8orf88,MRPL34,MRPL53,CIRBP,MRPL37,SARS2,RPL35A,SARNP,LARP1B,RPS7,SARS1,OGFOD1,RPS16,MRPL46,ZFP36L1,RPS26,RPSA,SHMT2,RPL22L1,RPL21,HABP4,EIF4B,MRPS10,MTRFR,MRPS11,EIF1B,MRPL44,MRPL10,MRPS18C,CAPRIN1,MRPL35,MTRES1,RPL36A,NPM1,HSPA5,RPS12,MRPL33,RPS19,MRPL13,PA2G4,UBE2A,RPL7A,NOLC1,EIF6,RPL27,SERBP1,MCTS1,MRPL17,TPR,MRPL40,YBX3,MRPL43,HNRNPD,MRPS7,WFS1,MRPS23","25996,16110,10424,3270,10904,10388,8769,10377,10411,14480,10420,20993,10302,4399,2240,10334,30141,14476,21237,14045,5246,14035,16685,2457,14044,7234,10346,29369,20439,10442,10322,786,10397,14513,4141,10416,10353,11569,2869,10317,15789,12741,14508,10327,14501,16672,16618,16686,14056,7667,14047,14197,10404,9113,28147,10386,14052,10405,14477,9021,10316,10368,21100,7629,10333,24992,1243,14511,28426,14033,3597,29996,1455,14495,16897,16634,30258,6137,10426,5359,11304,10389,10379,10823,10413,10850,29528,10303,17040,18476,10340,9281,14478,586,14504,3249,14042,23518,14048,5474,14483,17479,10348,15887,20250,10383,2673,10401,14516,7879,10418,10360,11654,3250,10325,17521,2769,16635,10315,14051,13164,16651,14479,14276,8014,16653,17970,21025,10421,3279,17589,10387,14484,3300,10409,14054,10349,10344,10301,9905,10448,10331,29788,14027,18077,14279,44672,14488,16684,1982,14034,17697,10345,24432,24704,10440,10537,25585,10396,1192,1107,10414,6502,10852,27610,10313,17062,3285,14502,26784,14050,30792,16650,14055,16633,6743,14489,17971,10359,7910,5238,10385,14487,10402,14278,8550,12472,10364,15608,6159,10328,17860,23357,14053,12017,14491,2428,14517,5036,14499,12762,14509"
NA,"Direct GO Biological Processes","GO:0002181","cytoplasmic translation",112,58,3.135,2.2531,1.172,2.37869495454333e-11,10.6236612486113,5.94673738635833e-08,7.16474383898594e-10,6.01943206843324e-09,"RPS7,RPS16,RPS26,RWDD1,RPL38,RPSA,RPL21,RPL31,RPS2,RPS12,RPS19,SARS1,RPL22L1,RPL7A,RPL24,RPS4X,RPS15,RPS24,RACK1,RPL36AL,RPL12,RPL30,RPS9,RPS17,RPS27,ZC3H15,RPL36A,RPL4,RPL22,RPL34,RPS3,RPS13,RPS20,UBE2A,RPL8,RPL26,RPS5,RPS15A,RPS25,RPL35,RPL37A,FAU,RPL13,RPL29,RPLP2,RPS10,RPS18,RPS28,AKT1S1,RPL5,RPL23A,RPL35A,RPS3A,RPS14,RPS21,RPL23,RPL11,RPL27","10440,10396,10414,20993,10349,6502,10313,10334,10404,10385,10402,10537,27610,10364,10325,10424,10388,10411,4399,10346,10302,10333,10442,10397,10416,29528,10359,10353,10315,10340,10420,10386,10405,12472,10368,10327,10426,10389,10413,10344,10348,3597,10303,10331,10377,10383,10401,10418,28426,10360,10317,10345,10421,10387,10409,10316,10301,10328"
NA,"Direct GO Biological Processes","GO:0008380","RNA splicing",285,113,6.108,1.7251,0.787,1.0871916923477e-10,9.96369387487503,2.71797923086926e-07,2.98679036359259e-09,2.5093404733422e-08,"SRRM1,SRSF2,SNRNP27,SMN2,ZC3H13,SNRPE,ARL6IP4,ESS2,CRIPT,MBNL1,SUGP1,NSRP1,SNRNP48,FUS,C9orf78,SF3A1,SRSF5,WBP4,SNRPB,SYF2,SF1,BUD31,THRAP3,YBX1,CACTIN,LSM10,PPIL1,ARGLU1,PPIH,SFSWAP,SNW1,SNRPD2,TRA2A,TAF15,PPIG,IK,ALYREF,RP9,ZMAT5,SNIP1,SRSF12,WBP11,SAP18,SRSF3,CLASRP,SNRPA,SRRM2,SNRPF,CWC15,GEMIN2,QKI,MFAP1,LSM2,PPP1R9B,SDE2,PPIL3,CD2BP2,SRSF6,CASC3,SNRPB2,LSM1,RNF113A,SCAF11,HNRNPC,PDCD7,PLRG1,SCNM1,ZCRB1,LSM7,RNPC3,DDX39A,SRSF1,RNPS1,TRA2B,ACIN1,SNRPD3,RSRC1,SF3A2,ZRANB2,LGALS3,ISY1,GEMIN6,ZMAT2,C1QBP,LUC7L3,SMNDC1,SRSF4,LSM6,SNRPA1,LSM4,SON,ZPR1,RBM8A,SNU13,SCAF1,BUD13,SREK1IP1,RBMX2,CWC25,PPIE,SRSF7,HABP4,SNRPD1,LSM3,DDX39B,SRSF11,HSPA8,PQBP1,PNN,PRKRIP1,ZNF830,LSM8,YJU2","16638,10783,30240,11118,20368,11161,18076,16817,14312,6923,18643,25305,21368,4010,24932,10765,10787,12739,11153,19824,12950,29629,22964,8014,29938,17562,9260,25482,14651,10790,16696,11159,16645,11547,14650,5958,19071,10288,28046,30587,21220,16461,10530,10785,17731,11151,16639,11162,26939,10884,21100,7032,13940,9298,26643,9262,1656,10788,17040,11155,20472,12974,10784,5035,8767,9089,23136,29620,20470,18666,17821,10780,10080,10781,17066,11160,24152,10766,13058,6563,29201,20044,26433,1243,24309,16900,10786,17017,11152,17259,11183,13051,9905,7819,30403,28199,26716,24282,25989,9258,10789,17062,11158,17874,13917,10782,5241,9330,9162,21894,28291,20471,25518"
NA,"SLIM2 GO BP","GO:0006397","mRNA processing",425,147,7.946,1.5049,0.59,1.53858412266469e-08,7.81287875355347,3.84646030666171e-05,3.23231958543001e-07,2.71562090776941e-06,"ARGLU1,NUDT21,SMN2,WBP4,RSRP1,ZFP36L1,SNU13,RNPS1,SRSF2,SCAF1,ZPR1,ZCRB1,SRRM1,SNRPC,HABP4,RSRC1,PPIL3,SNRPB2,CIRBP,QKI,SNRPE,CACTIN,HSPA8,SRSF4,SAFB,CSTF1,TRA2B,PRKRIP1,ZRANB2,ZMAT2,PPIH,FRA10AC1,LSM4,PPIL1,PNN,NCBP3,SON,RBPMS,SNW1,SF1,GEMIN2,LSM2,MBNL1,SFSWAP,REST,ZMAT5,PABPN1,BUD13,ALYREF,NBDY,LSM6,PSIP1,LSM1,WBP11,SNRPA1,NSRP1,CPSF6,SNRPD1,CWC15,GEMIN6,C1QBP,YBX1,ACIN1,SRSF3,MYG1,BUD31,ZNF830,SMNDC1,CWC27,ZC3H13,ARL6IP4,CWC25,SNRPD3,NCL,ZC3H14,DDX39B,SDE2,IK,SRSF6,SAFB2,PCF11,RBM8A,SNIP1,CRIPT,SNRNP48,SNRNP27,LUC7L2,SYF2,LSM7,RBBP6,RNPC3,RNF113A,ZBTB7A,TRA2A,SF3A1,SCAF11,SRSF12,MFAP1,SAP18,SRSF1,SUGP1,ESS2,LSM10,DDX39A,UPF3B,CASC3,HNRNPUL1,LSM3,LUC7L3,SNRPB,ISY1,CPSF7,SNRPD2,C9orf78,HNRNPC,NPM1,RBM42,SRSF5,SCNM1,SRSF11,LSM11,PPIE,GPATCH8,SRRM2,RBMX2,PLRG1,ALKBH5,SNRPF,THRAP3,SNRNP70,DNAJC17,SF3A2,CD2BP2,LGALS3,SRSF7,KAT8,LEO1,YJU2,SLBP,FIP1L1,PQBP1,SREK1IP1,CLASRP,LUC7L,RPUSD2,LSM8,SNRPA","25482,13870,11118,12739,25234,1107,7819,10080,10783,30403,13051,29620,16638,11157,17062,24152,9262,11155,1982,21100,11161,29938,5241,10786,10520,2483,10781,21894,13058,26433,14651,1162,17259,9260,9162,24612,11183,19097,16696,12950,10884,13940,6923,10790,9966,28046,8565,28199,19071,50713,17017,9527,20472,16461,11152,25305,13871,11158,26939,20044,1243,8014,17066,10785,17590,29629,28291,16900,10664,20368,18076,25989,11160,7667,20509,13917,26643,5958,10788,21605,30097,9905,30587,14312,21368,30240,21608,19824,20470,9889,18666,12974,18078,16645,10765,10784,21220,7032,10530,10780,18643,16817,17562,17821,20439,17040,17011,17874,24309,11153,29201,30098,11159,24932,5035,7910,28117,10787,23136,10782,30860,9258,29066,16639,24282,9089,25996,11162,22964,11150,25556,10766,1656,6563,10789,17933,30401,25518,10904,19124,9330,26716,17731,6723,24180,20471,11151"
NA,"Direct GO Biological Processes","GO:0006397","mRNA processing",354,124,6.703,1.524,0.608,9.7418861848912e-08,7.01135694862613,0.00024354715462228,1.75213780303799e-06,1.47205185795083e-05,"SNRPD1,LSM10,SREK1IP1,IK,RBBP6,SFSWAP,GEMIN6,CASC3,RPUSD2,SLBP,RBMX2,SCAF11,CWC25,ALYREF,SUGP1,PPIH,LSM11,ZFP36L1,MFAP1,SRSF3,SNRNP70,ACIN1,SNRPE,TRA2A,SF3A2,LSM8,CRIPT,NCBP3,SAP18,CACTIN,NUDT21,NSRP1,SNRNP48,HNRNPC,PLRG1,SRSF6,SNRPB,LSM4,SF1,CWC15,ZPR1,C9orf78,THRAP3,ZMAT5,CD2BP2,PRKRIP1,LSM6,SNRPD2,ZCRB1,NBDY,LGALS3,SRSF1,TRA2B,HABP4,LSM1,DDX39B,PPIL1,SRSF11,ALKBH5,DDX39A,LSM2,RNPS1,CPSF7,SRSF12,C1QBP,SNU13,SRSF4,SNRPA,ZC3H13,SNRPF,RSRC1,ESS2,WBP11,QKI,RNPC3,SMNDC1,MYG1,CPSF6,SNRPB2,BUD13,SDE2,HSPA8,PNN,SRSF7,SNIP1,WBP4,SYF2,RNF113A,PCF11,BUD31,PPIL3,PQBP1,ISY1,PPIE,SNRPD3,ZNF830,MBNL1,SRSF2,SMN2,SNW1,LSM3,PABPN1,LSM7,ZRANB2,ARGLU1,SRRM1,SCAF1,SNRNP27,FIP1L1,ZMAT2,CSTF1,YBX1,SRSF5,SNRPA1,SRRM2,SON,ARL6IP4,GEMIN2,LUC7L3,RBM8A,YJU2,SF3A1,SCNM1,CLASRP","11158,17562,26716,5958,9889,10790,20044,17040,24180,10904,24282,10784,25989,19071,18643,14651,30860,1107,7032,10785,11150,17066,11161,16645,10766,20471,14312,24612,10530,29938,13870,25305,21368,5035,9089,10788,11153,17259,12950,26939,13051,24932,22964,28046,1656,21894,17017,11159,29620,50713,6563,10780,10781,17062,20472,13917,9260,10782,25996,17821,13940,10080,30098,21220,1243,7819,10786,11151,20368,11162,24152,16817,16461,21100,18666,16900,17590,13871,11155,28199,26643,5241,9162,10789,30587,12739,19824,12974,30097,29629,9262,9330,29201,9258,11160,28291,6923,10783,11118,16696,17874,8565,20470,13058,25482,16638,30403,30240,19124,26433,2483,8014,10787,11152,16639,11183,18076,10884,24309,9905,25518,10765,23136,17731"
NA,"Direct GO Biological Processes","GO:0000398","mRNA splicing, via spliceosome",167,66,3.568,1.7195,0.782,9.99921043796646e-07,6.00003429159721,0.00249980260949162,1.40438348847844e-05,0.000117988740377935,"RNF113A,CWC27,CASC3,RSRC1,PLRG1,SNRPB2,GEMIN6,CWC25,ESS2,PPIH,SRRM2,HNRNPC,PPIL1,TRA2B,SNRPD2,FRA10AC1,ISY1,SNRPF,DDX39A,LSM6,LSM3,MFAP1,C9orf78,SNRPA1,RBM42,DDX39B,SF3A1,SNW1,CWC15,PNN,SNRPC,BUD13,RNPC3,BUD31,RNPS1,LSM4,HSPA8,LSM7,SNRNP70,SNRPD3,LSM2,ZMAT2,SF1,SRRM1,WBP4,TRA2A,SNU13,PPIL3,SNRPB,SNIP1,SF3A2,PPIE,GPATCH8,RBMX2,SRSF1,SNRPD1,ZCRB1,YJU2,SNRPE,RBM8A,SNRNP27,SYF2,IK,LSM8,SNRPA,CACTIN","12974,10664,17040,24152,9089,11155,20044,25989,16817,14651,16639,5035,9260,10781,11159,1162,29201,11162,17821,17017,17874,7032,24932,11152,28117,13917,10765,16696,26939,9162,11157,28199,18666,29629,10080,17259,5241,20470,11150,11160,13940,26433,12950,16638,12739,16645,7819,9262,11153,30587,10766,9258,29066,24282,10780,11158,29620,25518,11161,9905,30240,19824,5958,20471,11151,29938"
NA,"Direct GO Biological Processes","GO:0051469","vesicle fusion with vacuole",11,10,0.541,3.9553,1.984,3.51739262054201e-06,5.45377915189404,0.00879348155135502,3.71032976850423e-05,0.000311721933050406,"CHMP1A,CHMP4C,CHMP4A,CHMP1B,CHMP2B,CHMP4B,CHMP5,CHMP6,CHMP2A,CHMP3","8740,30599,20274,24287,24537,16171,26942,25675,30216,29865"
NA,"Direct GO Biological Processes","GO:0061763","multivesicular body-lysosome fusion",11,10,0.541,3.9553,1.984,3.51739262054201e-06,5.45377915189404,0.00879348155135502,3.71032976850423e-05,0.000311721933050406,"CHMP3,CHMP1A,CHMP4C,CHMP4A,CHMP1B,CHMP2B,CHMP4B,CHMP5,CHMP6,CHMP2A","29865,8740,30599,20274,24287,24537,16171,26942,25675,30216"
NA,"Direct GO Biological Processes","GO:0001682","tRNA 5'-leader removal",13,11,0.595,3.6815,1.88,4.50417680158843e-06,5.34638457054409,0.0112604420039711,4.46842936665519e-05,0.000375413380152054,"RPP30,RPP21,RPP40,POP5,RPP38,RPP25L,POP1,POP7,RPP25,POP4,RPP14","17688,21300,20992,17689,30329,19909,30129,19949,30361,30081,30327"
NA,"Direct GO Biological Processes","GO:0051603","proteolysis involved in protein catabolic process",32,19,1.027,2.5833,1.369,1.01061380270133e-05,4.99541477457583,0.0252653450675334,9.68020883813539e-05,0.000813279034378572,"PSMB3,PSMA1,PSMA5,PSMB6,CTSB,PSMB1,CTSV,PSMB4,PSMA3,PSMA6,PSMB7,CTSH,PSMB2,HSPA5,PSMA4,PSMB5,PSMA7,MALT1,CTSL","9540,9530,9534,9543,2527,9537,2538,9541,9532,9535,9544,2535,9539,5238,9533,9542,9536,6819,2537"
NA,"Direct GO Biological Processes","GO:1902774","late endosome to lysosome transport",16,12,0.649,3.2631,1.706,1.49419779205567e-05,4.82559190967413,0.0373549448013917,0.000140962055854308,0.00118428730811651,"CHMP5,CHMP1A,CHMP1B,CHMP2A,CHMP4B,CHMP3,SNAPIN,CHMP6,CHMP4A,ARL8B,CHMP2B,CHMP4C","26942,8740,24287,30216,16171,29865,17145,25675,20274,25564,24537,30599"
NA,"Direct GO Biological Processes","GO:0046761","viral budding from plasma membrane",13,10,0.541,3.3468,1.743,5.7448779138772e-05,4.24071919619986,0.14362194784693,0.000435218023778576,0.00365646754157186,"CHMP5,CHMP6,CHMP2A,CHMP3,CHMP4C,CHMP1A,CHMP4A,CHMP1B,CHMP4B,CHMP2B","26942,25675,30216,29865,30599,8740,20274,24287,16171,24537"
NA,"Direct GO Biological Processes","GO:0000122","negative regulation of transcription by RNA polymerase II",534,160,8.649,1.3036,0.383,6.93282221435023e-05,4.15908993672848,0.173320555358756,0.000515834986186773,0.00433376786058544,"YBX3,NFIL3,RBL1,DR1,SNCA,H1-4,VPS72,ING1,CNBP,MBD1,AMOTL2,CALR,DNAJC17,RPL23,SINHCAF,DEAF1,KLF16,ZBTB1,ZNF653,BRMS1,PAWR,RNF2,GATA2,SP3,HMGB1,NR2C1,JUN,ZNF148,MNT,PIAS4,URI1,HIF1AN,ZEB2,NIF3L1,HEXIM1,SARNP,RYBP,DAB2IP,ZNF219,BIN1,RARB,NKX2-5,SALL1,H1-2,TCF7L2,ID4,ZBTB14,MAFG,HMGA2,NACA,KLF5,MBD3,CBFA2T2,MOSPD1,ZNHIT1,ZNF668,DNAJB4,MTDH,MAFF,ZBTB7A,CBX4,NFX1,DPF2,E2F6,SOX2,HDGF,TP53,ING2,ZNF131,MECP2,CXXC5,BATF3,ZNF536,TGIF2,DRAP1,TAF3,SNW1,AEBP2,NOP53,PAX6,CDX2,RPS14,GATA3,SREBF2,HMGB2,WFS1,JUND,NELFE,MSX2,TAF9B,SAP30,LIN37,ZBTB39,GZF1,TXNIP,ZC3H8,HEY1,KMT5A,KLF3,ATF3,RBBP4,DLX1,SARS1,H1-3,ZEB1,RBPJ,ZNF8,MAX,UXT,NFATC3,C1QBP,POLE3,LRRFIP1,ZBTB2,TADA3,ZKSCAN3,WDR5,SGF29,VAX2,ZNF589,YBX1,REST,ENO1,SOX9,MNX1,TPR,JARID2,PCGF2,MITF,SIRT6,CGGBP1,LYAR,HDAC4,BACH2,MXD4,FLYWCH1,DKK1,HEXIM2,ZBTB7B,PLAGL1,ATF2,RREB1,GATA6,TAF7,HES1,YY1,MAF,MAFK,MXI1,ATF4,BCL11A,MBD2,NSMCE3,HMG20A,NKAP,ATF7,AJUBA,CBX5,ZNF724,DACT1","2428,7787,9893,3017,11138,4718,11644,6062,13164,6916,17812,1455,25556,10316,30702,14677,16857,20259,25196,17262,8614,10061,4171,11208,4983,7971,6204,12933,7188,17002,13236,17113,14881,13390,24953,24432,10480,17294,13011,1052,9865,2488,10524,4716,11641,5363,12860,6781,5009,7629,6349,6918,1536,25235,21688,25821,14886,29608,6780,18078,1554,7803,9964,3120,11195,4856,11998,6063,12915,6990,26943,28915,29025,15764,3019,17303,16696,24051,4333,8620,1806,10387,4172,11290,5000,12762,6206,13974,7392,17306,10532,33234,29014,15808,16952,30941,4880,29489,16516,785,9887,2914,10537,4717,11642,5724,13154,6913,12641,7777,1243,13546,6702,20868,19422,13853,12757,25156,12661,16747,8014,9966,3350,11204,4979,12017,6196,12929,7105,14934,1888,26021,14063,14078,13906,25404,2891,28591,18668,9046,784,10449,4174,11541,5192,12856,6776,6782,7534,786,13221,6917,7677,5001,29873,792,20250,1555,32460,17748"
NA,"SLIM2 GO BP","GO:0022618","protein-RNA complex assembly",183,64,3.459,1.5216,0.606,0.000132559345489418,3.87758964890854,0.331398363723545,0.000949565512101848,0.00797773824588415,"SFSWAP,RPS15,TARBP2,EIF4H,DDX39B,PTGES3,SNIP1,CD2BP2,SRSF5,EIF3C,LSM4,RPS28,SMN2,SCAF11,SNRPB2,RPL11,LUC7L3,RPSA,NUFIP1,ISY1,SNRPE,YJU2,SF3A1,NOP53,SNRPC,RPS19,DENR,SF3A2,SNRPA1,EIF6,BUD13,LSM2,SRSF6,EIF3J,SNU13,RPS27L,SNRPD1,RSRP1,SNRPD3,RPL24,LUC7L,RPS14,NOPCHAP1,EIF4B,SF1,DKC1,RBMX2,NAF1,SRSF1,SRSF12,PSIP1,RPS27,MCTS1,GEMIN2,SNRPB,RPL5,LUC7L2,FAU,ZNHIT3,RPL38,SNRPD2,GEMIN6,SNRPF,RRS1","10790,10388,11569,12741,13917,16049,30587,1656,10787,3279,17259,10418,11118,10784,11155,10301,24309,6502,8057,29201,11161,25518,10765,4333,11157,10402,2769,10766,11152,6159,28199,13940,10788,3270,7819,18476,11158,25234,11160,10325,6723,10387,28628,3285,12950,2890,24282,25126,10780,21220,9527,10416,23357,10884,11153,10360,21608,3597,12309,10349,11159,20044,11162,17083"
NA,"Direct GO Biological Processes","GO:0006997","nucleus organization",26,15,0.811,2.5101,1.328,0.000139979823912543,3.8539345571425,0.349949559781358,0.000997007292824381,0.00837631854782167,"BIN1,CHMP5,PITPNB,CHMP1B,CHMP4A,CHMP4B,LMNA,CHMP3,CHMP2B,CHMP6,GOLM1,CHMP1A,CEP55,CHMP2A,CHMP4C","1052,26942,9002,24287,20274,16171,6636,29865,24537,25675,15451,8740,1161,30216,30599"
NA,"Direct GO Biological Processes","GO:0071985","multivesicular body sorting pathway",20,12,0.649,2.6105,1.384,0.000404388556837272,3.39320114233114,1,0.00236761450138918,0.0198914224648215,"CHMP5,RAB27A,CHMP6,CHMP2A,CHMP3,UVRAG,CHMP4C,CHMP4A,CHMP1A,CHMP1B,CHMP2B,CHMP4B","26942,9766,25675,30216,29865,12640,30599,20274,8740,24287,24537,16171"
NA,"Direct GO Biological Processes","GO:1901673","regulation of mitotic spindle assembly",20,12,0.649,2.6105,1.384,0.000404388556837272,3.39320114233114,1,0.00236761450138918,0.0198914224648215,"CHMP2B,CCSAP,CHMP5,CHMP1A,CHMP6,CHMP2A,CHMP4B,CHMP3,TPR,CHMP4C,CHMP4A,CHMP1B","24537,29578,26942,8740,25675,30216,16171,29865,12017,30599,20274,24287"
NA,"Direct GO Biological Processes","GO:0061952","midbody abscission",23,13,0.703,2.4592,1.298,0.000517602227099902,3.28600386368573,1,0.00277683598229561,0.0233294810480974,"CHMP5,CHMP1A,CHMP1B,CHMP4C,CHMP2A,CHMP3,IST1,CHMP6,CHMP4B,CHMP4A,CEP55,ZFYVE19,CHMP2B","26942,8740,24287,30599,30216,29865,28977,25675,16171,20274,1161,20758,24537"
NA,"Direct GO Biological Processes","GO:0031468","nuclear membrane reassembly",18,11,0.595,2.6588,1.411,0.000572076844938444,3.2425456301385,1,0.0030559660520216,0.0256745816277302,"CHMP6,CHMP2A,UBXN2A,CHMP3,CHMP1A,CHMP4C,CHMP4A,CHMP1B,CHMP2B,CHMP4B,CHMP5","25675,30216,27265,29865,8740,30599,20274,24287,24537,16171,26942"
NA,"Direct GO Biological Processes","GO:0042026","protein refolding",18,11,0.595,2.6588,1.411,0.000572076844938444,3.2425456301385,1,0.0030559660520216,0.0256745816277302,"HSPA2,HSPA9,DNAJA1,SDF2L1,HSPA5,FKBP1B,HSPB1,HSPA1L,HSPA8,DNAJB2,SDF2","5235,5244,5229,10676,5238,3712,5246,5234,5241,5228,10675"
NA,"Direct GO Biological Processes","GO:0006334","nucleosome assembly",50,22,1.189,1.9144,0.937,0.000783944081452512,3.10571491433433,1,0.00398345569843756,0.0334668503343896,"H1-3,SET,CHRAC1,NAP1L1,ANP32B,SPTY2D1,H1-0,RBBP4,RSF1,H1-4,SOX9,GRWD1,NAP1L4,DNAJC9,H1-2,BRD2,POLE3,HMGB2,H1-10,H4C16,NPM1,ASF1A","4717,10760,13544,7637,16677,26818,4714,9887,18118,4718,11204,21270,7640,19123,4716,1103,13546,5000,4722,20510,7910,20995"
NA,"Direct GO Biological Processes","GO:0007080","mitotic metaphase chromosome alignment",44,20,1.081,1.9776,0.984,0.000813701025911342,3.08953513644711,1,0.0041179201716161,0.0345965484507572,"CHMP4C,RAB11A,SPDL1,CHMP2B,CEP55,KIF18A,CHMP5,CHMP4B,NUDC,PINX1,CHMP2A,CHMP1B,PSRC1,CHMP1A,CHMP3,SKA2,RRS1,CDCA8,CHMP4A,CHMP6","30599,9760,26010,24537,1161,29441,26942,16171,8045,30046,30216,24287,24472,8740,29865,28006,17083,14629,20274,25675"
