"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032543","mitochondrial translation","65/1705","125/7601",0.52,2.3181935483871,7.99079137687187,3.38283077959987e-13,1.13899912349127e-09,1.13899912349127e-09,"C1QBP/CHCHD1/DAP3/GADD45GIP1/MRPL10/MRPL11/MRPL13/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL21/MRPL22/MRPL23/MRPL27/MRPL28/MRPL3/MRPL32/MRPL33/MRPL34/MRPL35/MRPL37/MRPL38/MRPL39/MRPL4/MRPL40/MRPL43/MRPL44/MRPL45/MRPL46/MRPL48/MRPL51/MRPL53/MRPL54/MRPL55/MRPL58/MRPS10/MRPS11/MRPS15/MRPS16/MRPS17/MRPS18B/MRPS18C/MRPS2/MRPS22/MRPS23/MRPS25/MRPS26/MRPS28/MRPS30/MRPS33/MRPS34/MRPS35/MRPS6/MRPS7/MRPS9/MTIF3/NGRN/SARS2/SHMT2/UQCC2",65
"GO:0002181","cytoplasmic translation","69/1705","148/7601",0.466216216216216,2.07842197035745,7.12433404613293,4.69984891838207e-11,9.41646327805766e-08,9.41646327805766e-08,"CNBP/EIF3C/ALKBH3/DENR/EIF3J/FAU/HNRNPD/MCTS1/PKM/RACK1/RPL11/RPL12/RPL13/RPL21/RPL22/RPL22L1/RPL23/RPL23A/RPL24/RPL26/RPL27/RPL29/RPL30/RPL31/RPL34/RPL35/RPL35A/RPL36A/RPL37A/RPL38/RPL4/RPL5/RPL7A/RPL8/RPLP2/RPS10/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS24/RPS25/RPS26/RPS27/RPS28/RPS3/RPS3A/RPS4X/RPS5/RPS7/RPS9/RPSA/RWDD1/SARS1/SH3BGRL/SLBP/UNK/YBX1/YBX3/ZC3H15/ZNF385A",69
"GO:0000375","RNA splicing, via transesterification reactions","104/1705","271/7601",0.383763837638376,1.71084394714915,6.40762634381848,1.19186369691884e-09,1.36821982958998e-06,1.36821982958999e-06,"EIF1/ACIN1/ARGLU1/BUD13/BUD31/C1QBP/C9orf78/CACTIN/CASC3/CD2BP2/CIRBP/CWC15/CWC25/CWC27/DDX39A/DDX39B/DNAJC17/ESS2/FRA10AC1/GEMIN2/GEMIN6/HNRNPC/HNRNPUL1/HSPA8/IK/ISY1/LSM1/LSM2/LSM3/LSM4/LSM6/LSM7/LSM8/LUC7L/LUC7L2/LUC7L3/MFAP1/NCL/NSRP1/PLRG1/PNN/PPIE/PPIH/PPIL1/PPIL3/PQBP1/PSIP1/QKI/RBM42/RBM8A/RBMX2/RBPMS/REST/RNF113A/RNPC3/RNPS1/RSRC1/RSRP1/SAP18/SCAF11/SCNM1/SDE2/SF1/SF3A1/SF3A2/SFSWAP/SMN2/SMNDC1/SNIP1/SNRNP27/SNRNP70/SNRPA/SNRPA1/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNRPD3/SNRPE/SNRPF/SNU13/SNW1/SON/SRRM1/SRRM2/SRSF1/SRSF12/SRSF2/SRSF3/SRSF4/SRSF5/SRSF6/SRSF7/SYF2/THRAP3/TRA2A/TRA2B/UPF3B/WBP4/YJU2/ZBTB7A/ZCRB1/ZMAT2",104
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","102/1705","267/7601",0.382022471910112,1.70308082638637,6.28898679391076,2.31405475241952e-09,1.94785558784913e-06,1.94785558784913e-06,"EIF1/ACIN1/ARGLU1/BUD13/BUD31/C1QBP/C9orf78/CACTIN/CASC3/CD2BP2/CIRBP/CWC15/CWC25/CWC27/DDX39A/DDX39B/DNAJC17/ESS2/FRA10AC1/GEMIN2/GEMIN6/HNRNPC/HNRNPUL1/HSPA8/IK/ISY1/LSM2/LSM3/LSM4/LSM6/LSM7/LSM8/LUC7L/LUC7L2/LUC7L3/MFAP1/NCL/NSRP1/PLRG1/PNN/PPIE/PPIH/PPIL1/PPIL3/PQBP1/PSIP1/QKI/RBM42/RBM8A/RBMX2/RBPMS/REST/RNF113A/RNPC3/RNPS1/RSRC1/RSRP1/SAP18/SCAF11/SCNM1/SDE2/SF1/SF3A1/SF3A2/SFSWAP/SMN2/SNIP1/SNRNP27/SNRNP70/SNRPA/SNRPA1/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNRPD3/SNRPE/SNRPF/SNU13/SNW1/SON/SRRM1/SRRM2/SRSF1/SRSF12/SRSF2/SRSF3/SRSF4/SRSF5/SRSF6/SRSF7/SYF2/THRAP3/TRA2A/TRA2B/UPF3B/WBP4/YJU2/ZBTB7A/ZCRB1/ZMAT2",102
"GO:0000398","mRNA splicing, via spliceosome","102/1705","267/7601",0.382022471910112,1.70308082638637,6.28898679391076,2.31405475241952e-09,1.94785558784913e-06,1.94785558784913e-06,"EIF1/ACIN1/ARGLU1/BUD13/BUD31/C1QBP/C9orf78/CACTIN/CASC3/CD2BP2/CIRBP/CWC15/CWC25/CWC27/DDX39A/DDX39B/DNAJC17/ESS2/FRA10AC1/GEMIN2/GEMIN6/HNRNPC/HNRNPUL1/HSPA8/IK/ISY1/LSM2/LSM3/LSM4/LSM6/LSM7/LSM8/LUC7L/LUC7L2/LUC7L3/MFAP1/NCL/NSRP1/PLRG1/PNN/PPIE/PPIH/PPIL1/PPIL3/PQBP1/PSIP1/QKI/RBM42/RBM8A/RBMX2/RBPMS/REST/RNF113A/RNPC3/RNPS1/RSRC1/RSRP1/SAP18/SCAF11/SCNM1/SDE2/SF1/SF3A1/SF3A2/SFSWAP/SMN2/SNIP1/SNRNP27/SNRNP70/SNRPA/SNRPA1/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNRPD3/SNRPE/SNRPF/SNU13/SNW1/SON/SRRM1/SRRM2/SRSF1/SRSF12/SRSF2/SRSF3/SRSF4/SRSF5/SRSF6/SRSF7/SYF2/THRAP3/TRA2A/TRA2B/UPF3B/WBP4/YJU2/ZBTB7A/ZCRB1/ZMAT2",102
"GO:0006397","mRNA processing","144/1705","419/7601",0.343675417661098,1.53212718454077,6.0254572228194,6.09638805043692e-09,4.56145301462691e-06,4.56145301462691e-06,"EIF1/FIP1L1/NBDY/ACIN1/ALKBH5/ALYREF/ARGLU1/ARL6IP4/BUD13/BUD31/C1QBP/C9orf78/CACTIN/CASC3/CD2BP2/CIR1/CIRBP/CLASRP/CPSF6/CPSF7/CRIPT/CSTF1/CWC15/CWC25/CWC27/DDX39A/DDX39B/DNAJC17/ESS2/FRA10AC1/GEMIN2/GEMIN6/HABP4/HNRNPC/HNRNPUL1/HSPA8/IK/ISY1/KAT8/LEO1/LGALS3/LSM1/LSM10/LSM11/LSM2/LSM3/LSM4/LSM6/LSM7/LSM8/LUC7L/LUC7L2/LUC7L3/MBNL1/MFAP1/NCBP3/NCL/NSRP1/NUDT21/PABPN1/PCF11/PLRG1/PNN/PPIE/PPIH/PPIL1/PPIL3/PQBP1/PRKRIP1/PSIP1/QKI/RBM42/RBM8A/RBMX2/RBPMS/REST/RNF113A/RNPC3/RNPS1/RPUSD2/RSRC1/RSRP1/SAFB/SAFB2/SAP18/SCAF1/SCAF11/SCNM1/SDE2/SF1/SF3A1/SF3A2/SFSWAP/SLBP/SMN2/SMNDC1/SNIP1/SNRNP27/SNRNP48/SNRNP70/SNRPA/SNRPA1/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNRPD3/SNRPE/SNRPF/SNU13/SNW1/SON/SREK1IP1/SRRM1/SRRM2/SRSF1/SRSF11/SRSF12/SRSF2/SRSF3/SRSF4/SRSF5/SRSF6/SRSF7/SUGP1/SYF2/THRAP3/TRA2A/TRA2B/UPF3B/WBP11/WBP4/YBX1/YJU2/ZBTB7A/ZC3H13/ZCRB1/ZFP36L1/ZMAT2/ZMAT5/ZNF830/ZPR1/ZRANB2",144
"GO:0016071","mRNA metabolic process","179/1705","589/7601",0.303904923599321,1.35482775617504,4.82108211832877,1.89227915983113e-06,0.00106188398852524,0.00106188398852524,"ATF4/EIF1/FIP1L1/NBDY/PNRC1/TAF13/ACIN1/ALKBH5/ALYREF/APEX1/ARGLU1/ARL6IP4/ATF2/BAG4/BUD13/BUD31/C1QBP/C9orf78/CACTIN/CAPRIN1/CARHSP1/CASC3/CD2BP2/CIR1/CIRBP/CLASRP/CNOT3/CPSF6/CPSF7/CREB1/CRIPT/CSTF1/CWC15/CWC25/CWC27/DDX39A/DDX39B/DKC1/DNAJB11/DNAJC17/DXO/ESS2/FRA10AC1/FTO/FUS/GEMIN2/GEMIN6/HABP4/HNRNPAB/HNRNPC/HNRNPD/HNRNPUL1/HSPA8/IK/ISY1/KAT8/LARP1B/LEO1/LGALS3/LSM1/LSM10/LSM11/LSM14B/LSM2/LSM3/LSM4/LSM6/LSM7/LSM8/LUC7L/LUC7L2/LUC7L3/MBNL1/MFAP1/NCBP3/NCL/NPM1/NSRP1/NUDT16/NUDT21/PABPN1/PCF11/PIAS4/PLRG1/PNN/PPIE/PPIH/PPIL1/PPIL3/PQBP1/PRKRIP1/PSIP1/PYM1/QKI/RBM42/RBM8A/RBMX2/RBPMS/REST/RIDA/RNF113A/RNPC3/RNPS1/RPUSD2/RSRC1/RSRP1/SAFB/SAFB2/SAP18/SCAF1/SCAF11/SCNM1/SDE2/SERBP1/SF1/SF3A1/SF3A2/SFSWAP/SLBP/SMN2/SMNDC1/SNIP1/SNRNP27/SNRNP48/SNRNP70/SNRPA/SNRPA1/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNRPD3/SNRPE/SNRPF/SNU13/SNW1/SON/SREK1IP1/SRRM1/SRRM2/SRSF1/SRSF11/SRSF12/SRSF2/SRSF3/SRSF4/SRSF5/SRSF6/SRSF7/SUGP1/SYF2/TAF11/TAF12/TAF15/TAF3/TAF7/THRAP3/TNKS1BP1/TP53/TRA2A/TRA2B/UPF3B/WBP11/WBP4/YBX1/YBX3/YJU2/ZBTB1/ZBTB7A/ZC3H13/ZC3H14/ZCRB1/ZFP36L1/ZMAT2/ZMAT5/ZNF830/ZPR1/ZRANB2",179
"GO:0001682","tRNA 5'-leader removal","11/1705","13/7601",0.846153846153846,3.77220843672457,5.37927994710864,3.48305845441415e-06,0.00156366104213499,0.00156366104213499,"POP1/POP4/POP5/POP7/RPP14/RPP21/RPP25/RPP25L/RPP30/RPP38/RPP40",11
"GO:0000122","negative regulation of transcription by RNA polymerase II","155/1705","511/7601",0.303326810176125,1.35225048923679,4.43332109968705,1.09733394293435e-05,0.00404750222231029,0.00404750222231029,"AKIRIN2/ATF3/ATF4/CNBP/DACT1/DKK1/DLX1/JARID2/MAFK/MSX2/MXD4/MXI1/PAX6/PCGF2/PLAGL1/RARB/RBL1/SREBF2/ZBTB39/AEBP2/AJUBA/AMOTL2/ATF2/ATF7/BACH2/BATF3/BCL11A/BIN1/BRMS1/C1QBP/CALR/CBFA2T2/CBX4/CBX5/CDX2/CGGBP1/CIR1/CXXC5/DAB2IP/DEAF1/DNAJB4/DNAJC17/DPF2/DR1/DRAP1/E2F6/ENO1/FLYWCH1/GATA2/GATA3/GATA6/GZF1/HDAC4/HDGF/HES1/HEXIM1/HEXIM2/HEY1/HMG20A/HMGA2/HMGB1/HMGB2/ID4/ING1/ING2/JUN/JUND/KLF16/KLF3/KLF5/KMT5A/LIN37/LRRFIP1/LYAR/MAF/MAFF/MAFG/MAX/MBD2/MBD3/MECP2/MITF/MNT/MNX1/MOSPD1/MTDH/NACA/NELFE/NFATC3/NFIL3/NFX1/NIF3L1/NKAP/NOP53/NR2C1/NSMCE3/PAWR/PIAS4/POLE3/RBBP4/RBPJ/REST/RNF2/RPL23/RPS14/RREB1/RYBP/SALL1/SAP30/SARNP/SARS1/SCAF8/SGF29/SINHCAF/SIRT6/SNCA/SNW1/SOX2/SOX9/SP3/TADA3/TAF3/TAF7/TAF9B/TCF7L2/TGIF2/TP53/TPR/TXNIP/URI1/UXT/VAX2/VPS72/WDR5/WFS1/YBX1/YBX3/YY1/ZBTB1/ZBTB14/ZBTB2/ZBTB7A/ZBTB7B/ZC3H8/ZEB1/ZEB2/ZKSCAN3/ZNF131/ZNF148/ZNF219/ZNF536/ZNF589/ZNF653/ZNF668/ZNF8",155
"GO:0099116","tRNA 5'-end processing","12/1705","16/7601",0.75,3.34354838709677,5.04598986563532,1.14200389402874e-05,0.00404750222231029,0.00404750222231029,"POP1/POP4/POP5/POP7/RPP14/RPP21/RPP25/RPP25L/RPP30/RPP38/RPP40/THG1L",12
"GO:0018208","peptidyl-proline modification","14/1705","21/7601",0.666666666666667,2.97204301075269,4.86610726199545,1.79087222069505e-05,0.00540777499463688,0.00540777499463688,"CWC27/FKBP2/NKTR/OGFOD1/PIN1/PPIB/PPIC/PPIE/PPIF/PPIG/PPIH/PPIL1/PPIL3/PPIL4",14
"GO:0000245","spliceosomal complex assembly","31/1705","68/7601",0.455882352941176,2.03235294117647,4.59821127951155,1.84702739644562e-05,0.00540777499463688,0.00540777499463688,"BUD13/DDX39B/GEMIN2/GEMIN6/ISY1/LUC7L/LUC7L2/LUC7L3/PSIP1/RBMX2/RSRP1/SCAF11/SF1/SF3A1/SF3A2/SFSWAP/SMN2/SNIP1/SNRPA1/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNRPD3/SNRPE/SNRPF/SRSF1/SRSF12/SRSF5/SRSF6",31
"GO:0022618","protein-RNA complex assembly","63/1705","176/7601",0.357954545454545,1.59578445747801,4.30018880936778,3.12971800571259e-05,0.00810596963479561,0.00810596963479561,"EIF3C/PTGES3/ZNHIT3/BUD13/CD2BP2/DDX39B/DENR/EIF3J/EIF6/FAU/GEMIN2/GEMIN6/ISY1/LSM2/LSM4/LUC7L/LUC7L2/LUC7L3/MCTS1/MRPS7/NAF1/NOP53/NOPCHAP1/NUFIP1/PSIP1/RBMX2/RPL11/RPL24/RPL38/RPL5/RPS14/RPS15/RPS19/RPS27/RPS27L/RPS28/RPS5/RPSA/RRS1/RSRP1/SCAF11/SF1/SF3A1/SF3A2/SFSWAP/SMN2/SNIP1/SNRPA1/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNRPD3/SNRPE/SNRPF/SNU13/SRSF1/SRSF12/SRSF5/SRSF6/TARBP2/YJU2",63
"GO:0000966","RNA 5'-end processing","19/1705","35/7601",0.542857142857143,2.42009216589862,4.52801269371371,3.98656492119289e-05,0.00958768863546891,0.00958768863546891,"NCBP3/POP1/POP4/POP5/POP7/RPP14/RPP21/RPP25/RPP25L/RPP30/RPP38/RPP40/SNRPB/SNRPD1/SNRPD2/SNRPD3/SNRPE/SNRPF/THG1L",19
"GO:0046761","viral budding from plasma membrane","10/1705","13/7601",0.769230769230769,3.42928039702233,4.71385165433169,4.5819776167212e-05,0.010639668024483,0.010639668024483,"CHMP1A/CHMP1B/CHMP2A/CHMP2B/CHMP3/CHMP4A/CHMP4B/CHMP4C/CHMP5/CHMP6",10
"GO:0042254","ribosome biogenesis","91/1705","293/7601",0.310580204778157,1.38458659033359,3.61009747678008,0.000310713570079219,0.0581206994698183,0.0581206994698183,"ZNHIT3/C1D/C1orf131/C1QBP/DDX51/DKC1/EBNA1BP2/EIF1AX/EIF6/EMG1/FAU/GLUL/GRWD1/KRR1/LSM6/LTO1/LYAR/MPHOSPH6/MRPS2/MRPS7/NAF1/NGRN/NHP2/NIP7/NMD3/NOLC1/NOM1/NOP10/NOP16/NOP53/NPM1/NUDT16/PA2G4/PIN4/POP4/POP5/POP7/PWP1/RAN/RBIS/REXO1/RPL11/RPL24/RPL26/RPL27/RPL35/RPL35A/RPL38/RPL5/RPL7A/RPP25/RPP30/RPP38/RPP40/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS19/RPS19BP1/RPS21/RPS24/RPS25/RPS27/RPS27L/RPS28/RPS3A/RPS4X/RPS5/RPS7/RPS9/RPSA/RPUSD2/RRP1/RRP15/RRP36/RRP9/RRS1/RSL24D1/SDE2/SNU13/SURF6/TMA16/USP36/WBP11/WDR55/ZNF593/ZNF622",91
"GO:0006906","vesicle fusion","32/1705","81/7601",0.395061728395062,1.76121067303863,3.70363951024684,0.000382554881739671,0.0658873460951189,0.0658873460951189,"UVRAG/ARL8B/CHMP1A/CHMP1B/CHMP2A/CHMP2B/CHMP3/CHMP4A/CHMP4B/CHMP4C/CHMP5/CHMP6/EEA1/RAB14/RAB3A/RAB4B/RAB7A/RAB8A/SEPTIN8/SNAP23/SNAP29/SNAPIN/SNCA/STX10/STX12/STX3/STX7/STX8/VAMP2/VAMP3/VAMP4/VAMP8",32
"GO:0051098","regulation of binding","48/1705","136/7601",0.352941176470588,1.57343453510436,3.628512665316,0.000386925563133516,0.0658873460951189,0.0658873460951189,"DACT1/DKK1/EIF3C/PAX6/ADD2/BAG2/CDKN1A/CDT1/CPNE1/CSNK2B/DDRGK1/DNAJB2/EDF1/GATA3/GEMIN2/GMNN/GOLGA2/GTF2F1/HABP4/HDAC4/HES1/HJURP/HMGA2/HMGB1/ITGA4/JUN/LRPAP1/NMD3/NME1/NUCKS1/PEX14/PIN1/PINX1/PLAUR/PPP2CB/PSME3IP1/RACK1/RALB/RAN/RPL11/RSF1/SNAPIN/SUMO3/TCF7L2/TFAP4/ZBTB7A/ZC4H2/ZNF593",48
"GO:0019076","viral release from host cell","13/1705","23/7601",0.565217391304348,2.51977559607293,3.92515069070373,0.000401155507855639,0.0658873460951189,0.0658873460951189,"ARL8B/CHMP1A/CHMP1B/CHMP2A/CHMP2B/CHMP3/CHMP4A/CHMP4B/CHMP4C/CHMP5/CHMP6/RAB7A/VAPA",13
"GO:0035891","exit from host cell","13/1705","23/7601",0.565217391304348,2.51977559607293,3.92515069070373,0.000401155507855639,0.0658873460951189,0.0658873460951189,"ARL8B/CHMP1A/CHMP1B/CHMP2A/CHMP2B/CHMP3/CHMP4A/CHMP4B/CHMP4C/CHMP5/CHMP6/RAB7A/VAPA",13
"GO:0006376","mRNA splice site recognition","14/1705","26/7601",0.538461538461538,2.40049627791563,3.84651618994685,0.000470074357696324,0.0753685886839773,0.0753685886839773,"ISY1/LUC7L/LUC7L2/LUC7L3/PSIP1/SF1/SF3A1/SF3A2/SFSWAP/SNRPC/SRSF1/SRSF12/SRSF5/SRSF6",14
"GO:0042255","ribosome assembly","23/1705","53/7601",0.433962264150943,1.93463177115033,3.67157817357724,0.000526397139039951,0.0824362403324425,0.0824362403324425,"C1QBP/EIF1AX/EIF6/FAU/MRPS2/MRPS7/NGRN/NIP7/NOP53/NPM1/RPL11/RPL24/RPL38/RPL5/RPS14/RPS15/RPS19/RPS27/RPS27L/RPS28/RPS5/RPSA/RRS1",23
"GO:0090174","organelle membrane fusion","32/1705","83/7601",0.385542168674699,1.71877186164011,3.54053753533999,0.000634781603673355,0.0971504390712812,0.0971504390712812,"UVRAG/ARL8B/CHMP1A/CHMP1B/CHMP2A/CHMP2B/CHMP3/CHMP4A/CHMP4B/CHMP4C/CHMP5/CHMP6/EEA1/RAB14/RAB3A/RAB4B/RAB7A/RAB8A/SEPTIN8/SNAP23/SNAP29/SNAPIN/SNCA/STX10/STX12/STX3/STX7/STX8/VAMP2/VAMP3/VAMP4/VAMP8",32
"GO:0032510","endosome to lysosome transport via multivesicular body sorting pathway","10/1705","16/7601",0.625,2.78629032258065,3.84613473929189,0.000653759746212771,0.0978315140221511,0.0978315140221511,"CHMP1A/CHMP1B/CHMP2A/CHMP2B/CHMP3/CHMP4A/CHMP4B/CHMP4C/CHMP5/CHMP6",10
"GO:1903241","U2-type prespliceosome assembly","13/1705","24/7601",0.541666666666667,2.41478494623656,3.73282523781218,0.000696595246430823,0.101710715483176,0.101710715483176,"BUD13/RBMX2/SF3A1/SF3A2/SNIP1/SNRPA1/SNRPB/SNRPB2/SNRPD1/SNRPD2/SNRPD3/SNRPE/SNRPF",13
"GO:0051100","negative regulation of binding","23/1705","54/7601",0.425925925925926,1.89880525686977,3.56422866883276,0.000724994704958782,0.101710715483176,0.101710715483176,"DACT1/DKK1/BAG2/CDKN1A/CPNE1/DNAJB2/GEMIN2/GOLGA2/GTF2F1/HABP4/HMGA2/ITGA4/JUN/LRPAP1/PEX14/PIN1/PSME3IP1/RACK1/RALB/RSF1/SUMO3/TFAP4/ZNF593",23
