"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","miss_1_raw","miss_2_raw","miss_pair","label"
"AAMP",-1.2,0.011,-1.2,0.01,"-1.2","0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ABCA3",4.72,6.24e-09,4.7,0,"4.7","<0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"ABCB1",3.15,8.74e-08,3.1,0,"3.1","<0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"ABCB10",1.7,0.0125,1.7,0.01,"1.7","0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"ABCB6",-0.173,0.52,-0.2,0.52,"-0.2","0.52","NS","MAR_2of3","MAR_1of3","MAR vs MAR",NA
"ABCC10",-1.29,0.05,-1.3,0.05,"-1.3","0.05","Down","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"ABHD16A",3.54,6.12e-05,3.5,0,"3.5","<0.01","Up","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"ABHD5",-1.48,0.305,-1.5,0.3,"-1.5","0.30","NS","MAR_2of3","MAR_2of3","MAR vs MAR",NA
"ABLIM2",-0.721,0.285,-0.7,0.28,"-0.7","0.28","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"ABR",4.88,0.000115,4.9,0,"4.9","<0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"ABRACL",-1.7,0.0212,-1.7,0.02,"-1.7","0.02","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ACAD9",1.57,0.00114,1.6,0,"1.6","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ACAP2",8.83,3.36e-14,8.8,0,"8.8","<0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR","ACAP2"
"ACAT2",-2.11,0.0341,-2.1,0.03,"-2.1","0.03","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ACE2",2.19,0.344,2.2,0.34,"2.2","0.34","NS","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"ACOT13",0.652,0.105,0.7,0.1,"0.7","0.10","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ACOT8",0.358,0.182,0.4,0.18,"0.4","0.18","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ACOT9",1.47,0.0109,1.5,0.01,"1.5","0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ACOX3",3.62,0.000854,3.6,0,"3.6","<0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"ACP1",-1.4,0.00397,-1.4,0,"-1.4","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ACSS3",5.43,4.16e-09,5.4,0,"5.4","<0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"ACTMAP",2.51,2.61e-06,2.5,0,"2.5","<0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"ACVR2A",5.75,0.00686,5.8,0.01,"5.8","<0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"ACVR2B",2.81,0.0139,2.8,0.01,"2.8","0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"ACYP1",-2.03,0.00958,-2,0.01,"-2.0","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ADAM9",0.21,0.421,0.2,0.42,"0.2","0.42","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ADAMTS1",0.058,0.5,0.1,0.5,"0.1","0.50","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ADD1",-0.159,0.377,-0.2,0.38,"-0.2","0.38","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ADGRG6",0.0567,0.535,0.1,0.54,"0.1","0.54","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ADI1",-1.79,0.0442,-1.8,0.04,"-1.8","0.04","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ADIPOR1",0.12,0.527,0.1,0.53,"0.1","0.53","NS","MAR_2of3","MAR_1of3","MAR vs MAR",NA
"ADISSP",-1.02,0.0409,-1,0.04,"-1.0","0.04","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ADO",-1.41,0.0379,-1.4,0.04,"-1.4","0.04","Down","Present_3of3","Present_3of3","Present vs Present",NA
"AFF3",4.14,0.00569,4.1,0.01,"4.1","<0.01","Up","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"AGA",-1,0.271,-1,0.27,"-1.0","0.27","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AGAP1",1.3,0.00479,1.3,0,"1.3","<0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"AGPAT3",3.94,0.0199,3.9,0.02,"3.9","0.02","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"AGPAT5",1.88,0.361,1.9,0.36,"1.9","0.36","NS","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"AGR2",-7.39,0.000107,-7.4,0,"-7.4","<0.01","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"AHDC1",0.423,0.247,0.4,0.25,"0.4","0.25","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"AIDA",-1.2,0.0454,-1.2,0.05,"-1.2","0.05","Down","Present_3of3","Present_3of3","Present vs Present",NA
"AIFM2",-2.03,0.225,-2,0.22,"-2.0","0.22","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"AIG1",-1.8,0.0442,-1.8,0.04,"-1.8","0.04","Down","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"AIP",-1.21,0.00129,-1.2,0,"-1.2","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"AIRIM",-0.886,0.133,-0.9,0.13,"-0.9","0.13","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AK1",-1.1,0.000364,-1.1,0,"-1.1","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"AKAP7",-2.38,0.338,-2.4,0.34,"-2.4","0.34","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"AKIRIN2",-1.74,0.0175,-1.7,0.02,"-1.7","0.02","Down","Present_3of3","Present_3of3","Present vs Present",NA
"AKR1A1",-1.23,0.0133,-1.2,0.01,"-1.2","0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"AKR1B1",-2.21,0.0468,-2.2,0.05,"-2.2","0.05","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ALDH18A1",1.83,0.0189,1.8,0.02,"1.8","0.02","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ALDH1A1",0.0969,0.531,0.1,0.53,"0.1","0.53","NS","MAR_1of3","Present_3of3","MAR vs Present",NA
"ALDH1L2",0.0586,0.499,0.1,0.5,"0.1","0.50","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALG1",2.06,0.0128,2.1,0.01,"2.1","0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"ALG2",2.08,0.0355,2.1,0.04,"2.1","0.04","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"ALG3",3.54,1.37e-08,3.5,0,"3.5","<0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"ALG8",2.83,5.94e-07,2.8,0,"2.8","<0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"ALG9",4.12,1.55e-05,4.1,0,"4.1","<0.01","Up","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"ALKBH2",-1.77,0.0439,-1.8,0.04,"-1.8","0.04","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ALKBH3",-1.95,0.0282,-2,0.03,"-2.0","0.03","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ALKBH4",-1.14,0.0206,-1.1,0.02,"-1.1","0.02","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ALKBH5",-1.56,0.0433,-1.6,0.04,"-1.6","0.04","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ALKBH6",-1.77,0.0228,-1.8,0.02,"-1.8","0.02","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ALKBH8",-0.021,0.541,0,0.54,"-0.0","0.54","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"AMBRA1",1.98,0.0116,2,0.01,"2.0","0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"AMMECR1",5.98,9.94e-05,6,0,"6.0","<0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"AMOT",-0.291,0.385,-0.3,0.38,"-0.3","0.38","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AMOTL1",-0.232,0.397,-0.2,0.4,"-0.2","0.40","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AMPH",-1.26,0.00857,-1.3,0.01,"-1.3","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ANAPC16",4.85,3.67e-07,4.8,0,"4.8","<0.01","Up","MAR_1of3","MNAR_0of3","MAR vs MNAR",NA
"ANAPC4",3.55,1.8e-05,3.5,0,"3.5","<0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"ANAPC7",1.2,0.00955,1.2,0.01,"1.2","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ANKLE2",0.135,0.451,0.1,0.45,"0.1","0.45","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ANKRD26",2.52,0.0144,2.5,0.01,"2.5","0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"ANKRD27",2.87,1.15e-05,2.9,0,"2.9","<0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"ANKRD50",2.16,0.00169,2.2,0,"2.2","<0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"ANKRD52",4.74,3.36e-14,4.7,0,"4.7","<0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR","ANKRD52"
"ANKRD54",-1.33,0.0494,-1.3,0.05,"-1.3","0.05","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ANO10",4.87,9.95e-09,4.9,0,"4.9","<0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"ANP32B",-1.32,0.0216,-1.3,0.02,"-1.3","0.02","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ANXA3",1.02,0.00626,1,0.01,"1.0","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ANXA4",0.779,0.0174,0.8,0.02,"0.8","0.02","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ANXA6",1.09,0.00193,1.1,0,"1.1","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"AP3S2",1.58,0.254,1.6,0.25,"1.6","0.25","NS","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"AP4B1",1.51,0.0362,1.5,0.04,"1.5","0.04","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"APLP1",-0.148,0.514,-0.1,0.51,"-0.1","0.51","NS","Present_3of3","Present_3of3","Present vs Present",NA
"APLP2",-0.324,0.392,-0.3,0.39,"-0.3","0.39","NS","Present_3of3","Present_3of3","Present vs Present",NA
"APMAP",1.01,0.00322,1,0,"1.0","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"APOA1",-0.583,0.271,-0.6,0.27,"-0.6","0.27","NS","Present_3of3","Present_3of3","Present vs Present",NA
"APOC3",1.5,0.201,1.5,0.2,"1.5","0.20","NS","Present_3of3","Present_3of3","Present vs Present",NA
"APOE",-0.183,0.464,-0.2,0.46,"-0.2","0.46","NS","Present_3of3","Present_3of3","Present vs Present",NA
"APOH",0.852,0.409,0.9,0.41,"0.9","0.41","NS","Present_3of3","Present_3of3","Present vs Present",NA
"APOOL",1.19,0.00899,1.2,0.01,"1.2","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"APP",-0.522,0.272,-0.5,0.27,"-0.5","0.27","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ARB2A",3.25,2.23e-05,3.2,0,"3.2","<0.01","Up","MAR_1of3","MNAR_0of3","MAR vs MNAR",NA
"ARF1",-2.52,0.034,-2.5,0.03,"-2.5","0.03","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ARF3",-3.18,0.224,-3.2,0.22,"-3.2","0.22","NS","MAR_2of3","Present_3of3","MAR vs Present",NA
"ARF4",-1.42,0.0454,-1.4,0.05,"-1.4","0.05","Down","Present_3of3","Present_3of3","Present vs Present",NA
