"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
NA,NA,"hsa04082","Neuroactive ligand signaling","9/286","24/3974",0.375,5.21066433566434,5.76108838101776,2.27954775505413e-05,0.0068386432651624,0.00592682416314075,"GNB2/PRKACG/GNA11/GNAI3/GNB1/GNB4/PRKACA/PRKACB/SLC6A9",9
"Organismal Systems","Digestive system","hsa04976","Bile secretion","7/286","18/3974",0.388888888888889,5.4036519036519,5.21396289120774,0.000148186170801615,0.0194617097927069,0.0168668151536793,"PRKACG/ABCB1/ATP1A1/EPHX1/PRKACA/PRKACB/SLC2A1",7
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","7/286","19/3974",0.368421052631579,5.11924917188075,5.01150839876742,0.000220329917976976,0.0194617097927069,0.0168668151536793,"GNB2/PRKACG/GNAI3/GNB1/GNB4/PRKACA/PRKACB",7
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","13/286","61/3974",0.213114754098361,2.96125186289121,4.29823548808456,0.000298827016743274,0.0194617097927069,0.0168668151536793,"CLOCK/GNB2/MAPK8/PRKACG/GNAI3/GNB1/GNB4/MAPK9/PPP2R1B/PPP2R3A/PPP2R5B/PRKACA/PRKACB",13
"Organismal Systems","Nervous system","hsa04727","GABAergic synapse","8/286","26/3974",0.307692307692308,4.27541689080151,4.6656432606143,0.000324361829878448,0.0194617097927069,0.0168668151536793,"GNB2/PRKACG/GLS/GNAI3/GNB1/GNB4/PRKACA/PRKACB",8
"Organismal Systems","Excretory system","hsa04961","Endocrine and other factor-regulated calcium reabsorption","8/286","27/3974",0.296296296296296,4.11706811706812,4.52523830612714,0.000432573961052287,0.0207122639000165,0.0179506287133477,"PRKACG/AP2A1/AP2M1/ATP1A1/CLTC/DNM3/PRKACA/PRKACB",8
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","12/286","56/3974",0.214285714285714,2.97752247752248,4.14982773741842,0.000483286157667053,0.0207122639000165,0.0179506287133477,"CREM/PRKACG/ATP1A1/ATP2A2/CACNB3/GNAI3/PPP2R1B/PPP2R3A/PPP2R5B/PRKACA/PRKACB/RPS6KA5",12
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","8/286","29/3974",0.275862068965517,3.83313238485652,4.26372520168728,0.000736677655487448,0.0276254120807793,0.0239420238033421,"GNB2/PRKACG/GNAI3/GNB1/GNB4/PRKACA/PRKACB/RPS6KA5",8
"Metabolism","Glycan biosynthesis and metabolism","hsa00510","N-Glycan biosynthesis","9/286","39/3974",0.230769230769231,3.20656266810113,3.85587586880018,0.00141160551627104,0.0446822864637444,0.0387246482685785,"ALG1/ALG11/ALG2/ALG3/ALG5/ALG8/ALG9/KRTCAP2/MAN1A1",9
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","9/286","40/3974",0.225,3.1263986013986,3.7636076162378,0.00170886833382013,0.0446822864637444,0.0387246482685785,"GNB2/PRKACG/FYN/GNA11/GNAI3/GNB1/GNB4/PRKACA/PRKACB",9
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","11/286","56/3974",0.196428571428571,2.7293956043956,3.62913389337634,0.0017692602145827,0.0446822864637444,0.0387246482685785,"ANAPC16/ANAPC4/MAPK8/PRKACG/CDC16/GNAI3/MAD2L2/MAPK9/PKMYT1/PRKACA/PRKACB",11
