"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000226","microtubule cytoskeleton organization","69/504","408/7628",0.169117647058824,2.55958216619981,8.61191885704411,1.18591219115498e-13,4.75669379872263e-10,4.56139278576874e-10,"CCDC120/CCDC66/NDEL1/NUMA1/PCLAF/SAPCD2/SPICE1/SS18/ZBED3/ABL1/APC/ATAT1/BRCA1/CAMSAP1/CCDC88A/CCDC88C/CCNB1/CCSAP/CEP135/CEP20/CEP250/CEP350/CEP85/CGN/CLIP2/CNTROB/CROCC/DIAPH3/DLGAP5/DYNC1LI1/EML1/FAM110A/GEN1/GOLGA2/HOOK1/HOOK2/KATNA1/KATNBL1/KIZ/LZTS2/MAP1A/MAP7D1/MAP9/MAPRE3/NAV1/NCKAP5L/NCOR1/NDC80/NDE1/NEDD1/NUSAP1/ODF2/PAK1/PDE4DIP/PHLDB2/PPP1R12A/PSRC1/RNF4/SETD2/SKA1/SLAIN1/SLAIN2/SPAST/SRGAP2/TACC2/TPPP/TPX2/TRAF3IP1/TTK",69
"GO:0097435","supramolecular fiber organization","74/504","466/7628",0.158798283261803,2.40339941412903,8.31547911098421,3.86456765752788e-13,7.75039043717217e-10,7.43217380031941e-10,"ADD1/AMOT/CDC42EP1/DMTN/NDEL1/NUMA1/SHROOM3/SPTBN1/WASF2/ZBED3/ABL1/ADD2/AGFG1/APC/ARHGEF18/CALD1/CAMSAP1/CARMIL1/CCDC88A/CCDC88C/CCSAP/CD2AP/CDC42EP4/CLIP2/CNN2/COBL/CRACD/CTTN/DIAPH2/DIAPH3/ENAH/EPS8/FCHSD2/FLNC/GOLGA2/HOOK1/HOOK2/INF2/KATNA1/KATNBL1/LATS1/LIMA1/LIMCH1/LIMD2/LMOD1/MAP1A/MAPRE3/NCKAP5L/NDE1/NEBL/NEDD1/PAK1/PAWR/PDE4DIP/PFDN6/PHLDB2/PLS1/PPP1R9B/PSRC1/RIPK1/RUFY3/SH3KBP1/SHROOM1/SKA1/SLAIN1/SLAIN2/SORBS1/SORBS3/SPAST/SVIL/TPPP/TPX2/WIPF1/WIPF3",74
"GO:0007017","microtubule-based process","81/504","545/7628",0.148623853211009,2.24941022280472,8.05053738886343,1.00734081881698e-12,1.34681467475831e-09,1.29151696559904e-09,"BORCS6/CCDC120/CCDC66/NDEL1/NUMA1/PCLAF/SAPCD2/SPICE1/SS18/WDR35/ZBED3/ABL1/APC/ATAT1/BLOC1S5/BORCS5/BRCA1/CAMSAP1/CCDC88A/CCDC88C/CCNB1/CCSAP/CEP128/CEP135/CEP20/CEP250/CEP350/CEP85/CGN/CLIP2/CNTROB/CROCC/DIAPH3/DLGAP5/DYNC1I1/DYNC1LI1/EML1/FAM110A/GEN1/GOLGA2/GTSE1/HOOK1/HOOK2/IFT74/KATNA1/KATNBL1/KIZ/KLC1/KLC2/KLC3/LCA5/LZTS2/MAP1A/MAP7D1/MAP9/MAPRE3/NAV1/NCKAP5L/NCOR1/NDC80/NDE1/NEDD1/NUSAP1/ODF2/PAK1/PDE4DIP/PHLDB2/PPP1R12A/PSRC1/RNF4/SETD2/SKA1/SLAIN1/SLAIN2/SPAST/SRGAP2/TACC2/TPPP/TPX2/TRAF3IP1/TTK",81
"GO:0007015","actin filament organization","45/504","264/7628",0.170454545454545,2.57981601731602,6.94835137239055,2.38725521766546e-09,2.39382016951404e-06,2.29553435930253e-06,"ADD1/AMOT/CDC42EP1/DMTN/SHROOM3/SPTBN1/WASF2/ZBED3/ABL1/ADD2/ARHGEF18/CALD1/CARMIL1/CCDC88A/CD2AP/CDC42EP4/CNN2/COBL/CRACD/CTTN/DIAPH2/DIAPH3/ENAH/EPS8/FCHSD2/INF2/LATS1/LIMA1/LIMCH1/LIMD2/LMOD1/NEBL/PAK1/PAWR/PHLDB2/PLS1/PPP1R9B/RUFY3/SH3KBP1/SHROOM1/SORBS1/SORBS3/SVIL/WIPF1/WIPF3",45
"GO:0051258","protein polymerization","36/504","192/7628",0.1875,2.83779761904762,6.85975799243754,7.8069324520212e-09,6.26272121301141e-06,6.00558551151273e-06,"ADD1/CDC42EP1/DMTN/NDEL1/NUMA1/SPTBN1/ABL1/ADD2/CAMSAP1/CARMIL1/CD2AP/CDC42EP4/COBL/CRACD/CTTN/DIAPH2/DIAPH3/EPS8/FCHSD2/GOLGA2/INF2/LATS1/LMOD1/MAPRE3/NDE1/NEDD1/PAK1/PDE4DIP/PSRC1/SKA1/SLAIN1/SLAIN2/SVIL/TPPP/TPX2/UBE2S",36
"GO:0030036","actin cytoskeleton organization","56/504","399/7628",0.140350877192982,2.12419938735728,6.13508897852445,3.85440996412315e-08,2.57667306101632e-05,2.47087965068526e-05,"ADD1/AMOT/AMOTL1/CDC42EP1/DMTN/MRTFA/OPHN1/SHROOM3/SPTBN1/WASF2/ZBED3/ABL1/ABL2/ADD2/ARHGEF18/AUTS2/CALD1/CARMIL1/CCDC88A/CD2AP/CDC42EP4/CNN2/COBL/CRACD/CTTN/DIAPH2/DIAPH3/ENAH/EPS8/FCHSD2/FLNC/INF2/LATS1/LIMA1/LIMCH1/LIMD2/LMOD1/NEBL/PAK1/PAWR/PDLIM3/PHACTR2/PHACTR4/PHLDB2/PLS1/PPP1R9B/RUFY3/SH3KBP1/SHROOM1/SMTN/SORBS1/SORBS3/SPECC1L/SVIL/WIPF1/WIPF3",56
"GO:1903047","mitotic cell cycle process","71/504","564/7628",0.125886524822695,1.90528256219746,5.9419439071225,5.04222270686202e-08,2.88919361103194e-05,2.77056868734945e-05,"ANKLE2/ATAD5/BOD1/CKS1B/CKS2/DACT1/LATS2/NDEL1/NUMA1/PHF8/PIDD1/SAPCD2/SPC24/SPICE1/SPTBN1/WNK1/ANKRD17/APC/ARID1A/ARID1B/ARPP19/ATF2/BRCA1/CCNB1/CCSAP/CDC25C/CDCA5/CDKN1A/CDT1/CENPF/CEP85/CNTROB/DLGAP5/DTL/DYNC1LI1/EML1/EPS8/FAM110A/GEN1/GIGYF2/GOLGA2/GTSE1/ID4/INIP/KHDRBS1/LATS1/LZTS2/MAP9/MIIP/MRNIP/NDC80/NDE1/NUSAP1/PPP1R9B/PSRC1/RBBP8/RTF2/SDE2/SETD2/SKA1/SPAST/SYF2/TACC2/TCF3/TFDP1/TICRR/TPX2/TTK/UBE2S/WAC/ZWINT",71
"GO:0051493","regulation of cytoskeleton organization","49/504","333/7628",0.147147147147147,2.22706039372706,6.08983594285894,6.56438479420217e-08,3.29121842619311e-05,3.1560871102651e-05,"ADD1/AMOT/CDC42EP1/DMTN/NUMA1/SPTBN1/WASF2/ABL1/ABL2/ADD2/APC/ARHGEF18/ATAT1/BRCA1/CAMSAP1/CARMIL1/CCDC88A/CCDC88C/CCSAP/CD2AP/CDC42EP4/CRACD/CTTN/DIAPH3/EPS8/FCHSD2/KATNBL1/LATS1/LIMA1/LIMCH1/LMOD1/MAP1A/MAP9/MAPRE3/PAK1/PDE4DIP/PHLDB2/PSRC1/PTK2/RNF4/SKA1/SLAIN1/SLAIN2/SORBS3/SPAST/SVIL/TPPP/TPX2/TRAF3IP1",49
"GO:0030029","actin filament-based process","58/504","433/7628",0.133949191685912,2.02731038527805,5.85410373067969,1.15835630118599e-07,5.16240791561891e-05,4.95044903454224e-05,"ADD1/AMOT/AMOTL1/CDC42EP1/DMTN/MRTFA/OPHN1/SHROOM3/SPTBN1/WASF2/ZBED3/ABL1/ABL2/ADD2/ARHGEF18/AUTS2/CALD1/CARMIL1/CCDC88A/CCDC88C/CD2AP/CDC42EP4/CNN2/COBL/CRACD/CTTN/DIAPH2/DIAPH3/ENAH/EPS8/FCHSD2/FLNC/INF2/LATS1/LIMA1/LIMCH1/LIMD2/LMOD1/NEBL/PAK1/PAWR/PDLIM3/PHACTR2/PHACTR4/PHLDB2/PLS1/PPP1R9B/RUFY3/SH3KBP1/SHROOM1/SMTN/SORBS1/SORBS3/SPECC1L/SRGAP2/SVIL/WIPF1/WIPF3",58
"GO:0051017","actin filament bundle assembly","22/504","96/7628",0.229166666666667,3.46841931216931,6.47335735434861,1.85880791441969e-07,6.61021657967745e-05,6.33881336381304e-05,"ADD1/AMOT/DMTN/WASF2/ABL1/ADD2/ARHGEF18/CALD1/CARMIL1/CCDC88A/DIAPH3/EPS8/LIMA1/LIMCH1/LIMD2/PAK1/PAWR/PHLDB2/PLS1/SHROOM1/SORBS1/SORBS3",22
