"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006629","lipid metabolic process","58/392","592/7610",0.097972972972973,1.90197531715389,5.32533841071523,9.84828428175562e-07,0.00233396083543557,0.00227321074638923,"ABCA3/HDHD5/MFSD8/MTMR12/NUDT8/PDK2/PDSS1/TRIB3/ABHD16A/ACAD9/ACOX3/ACSS3/AGPAT3/AGPAT4/ATP1A1/ATP5F1A/CLN6/CTDNEP1/DDHD1/DGKE/EPHX1/ERLIN1/FADS1/GPAT4/HPS6/IMPA2/INPP5K/KAT5/KBTBD2/LDAH/LDLRAP1/MLYCD/NSDHL/NUDT19/OGT/PCCA/PDK1/PECR/PEDS1/PHB2/PIGG/PIGU/PRKCE/PTDSS1/PTEN/PTPMT1/RDH11/RDH14/RGN/SACM1L/SCD5/SGPL1/SLC30A5/SOAT1/SPTLC2/TM9SF2/TYSND1/UGCG",58
"GO:0044255","cellular lipid metabolic process","47/392","440/7610",0.106818181818182,2.07368970315399,5.40684519437134,1.08329581593668e-06,0.00233396083543557,0.00227321074638923,"ABCA3/HDHD5/MFSD8/MTMR12/NUDT8/PDK2/PDSS1/TRIB3/ABHD16A/ACAD9/ACOX3/AGPAT3/AGPAT4/CLN6/CTDNEP1/DDHD1/DGKE/EPHX1/ERLIN1/FADS1/GPAT4/IMPA2/INPP5K/KAT5/MLYCD/NUDT19/PCCA/PDK1/PECR/PEDS1/PHB2/PIGG/PIGU/PTDSS1/PTEN/PTPMT1/RDH11/RDH14/RGN/SACM1L/SCD5/SGPL1/SLC30A5/SPTLC2/TM9SF2/TYSND1/UGCG",47
"GO:0055085","transmembrane transport","49/392","501/7610",0.0978043912175649,1.89870259481038,4.8498576108511,7.94156080740596e-06,0.0114067285063708,0.0111098255926763,"ABCA3/CRBN/GHITM/MFSD8/SLC39A7/SLC46A3/TIMM23/TRIB3/ZDHHC13/ABCB1/ANO10/ATP11C/ATP13A1/ATP1A1/ATP2A2/ATP5F1A/ATP5F1C/ATP7A/CACNB3/INPP5K/LRRC8E/MCU/MEF2A/MICU2/PHB2/PRKCE/SEC61A1/SLC19A1/SLC23A2/SLC25A1/SLC25A14/SLC25A15/SLC25A19/SLC25A21/SLC30A5/SLC30A7/SLC31A1/SLC35E1/SLC37A3/SLC37A4/SLC38A9/SLC6A15/SLC6A9/SLC7A6/SLC7A8/SLC9A6/TAP1/TIMM50/TMEM63B",49
"GO:1905039","carboxylic acid transmembrane transport","12/392","62/7610",0.193548387096774,3.75740618828176,5.08017919542667,6.10933448200662e-05,0.0520896838513603,0.0507338543599989,"ABCB1/LRRC8E/SLC19A1/SLC23A2/SLC25A1/SLC25A15/SLC25A21/SLC38A9/SLC6A15/SLC6A9/SLC7A6/SLC7A8",12
"GO:0046486","glycerolipid metabolic process","22/392","173/7610",0.127167630057803,2.46873894066297,4.55372874341479,7.25314697396522e-05,0.0520896838513603,0.0507338543599989,"ABCA3/HDHD5/MTMR12/ABHD16A/AGPAT3/AGPAT4/CTDNEP1/DDHD1/DGKE/GPAT4/IMPA2/INPP5K/KAT5/PHB2/PIGG/PIGU/PTDSS1/PTEN/PTPMT1/RGN/SACM1L/SLC30A5",22
"GO:2001294","malonyl-CoA catabolic process","3/392","3/7610",1,19.4132653061224,7.43332491755476,0.000135689014005203,0.0589393303431988,0.0574052130982481,"NUDT8/MLYCD/NUDT19",3
"GO:0006488","dolichol-linked oligosaccharide biosynthetic process","6/392","17/7610",0.352941176470588,6.85174069627851,5.62861081439873,0.000136950008815003,0.0589393303431988,0.0574052130982481,"ALG1/ALG11/ALG2/ALG3/ALG8/ALG9",6
"GO:0045017","glycerolipid biosynthetic process","17/392","121/7610",0.140495867768595,2.72748355540563,4.46368026534956,0.000141511384730024,0.0589393303431988,0.0574052130982481,"HDHD5/AGPAT3/AGPAT4/CTDNEP1/DGKE/GPAT4/IMPA2/INPP5K/KAT5/PIGG/PIGU/PTDSS1/PTEN/PTPMT1/RGN/SACM1L/SLC30A5",17
"GO:0008610","lipid biosynthetic process","33/392","327/7610",0.100917431192661,1.95913686575548,4.13140425128282,0.000145397274361696,0.0589393303431988,0.0574052130982481,"ABCA3/HDHD5/PDSS1/TRIB3/ACSS3/AGPAT3/AGPAT4/ATP1A1/CTDNEP1/DGKE/ERLIN1/FADS1/GPAT4/IMPA2/INPP5K/KAT5/MLYCD/NSDHL/OGT/PECR/PEDS1/PIGG/PIGU/PTDSS1/PTEN/PTPMT1/RGN/SACM1L/SCD5/SLC30A5/SPTLC2/TM9SF2/UGCG",33
"GO:0006650","glycerophospholipid metabolic process","19/392","145/7610",0.131034482758621,2.54380717804363,4.37381628915829,0.000150460114591596,0.0589393303431988,0.0574052130982481,"ABCA3/HDHD5/MTMR12/ABHD16A/AGPAT3/AGPAT4/DDHD1/DGKE/GPAT4/IMPA2/INPP5K/PHB2/PIGG/PIGU/PTDSS1/PTEN/PTPMT1/SACM1L/SLC30A5",19
