"name","Gene","ID","p.val","p.adj","ratio"
"ABCA3","ABCA3","Q99758",0.763270080248092,0.868961934358825,-0.14
"ABCB10","ABCB10","Q9NRK6",0.0665430061006844,0.162417669226701,0.52
"ABCB6","ABCB6","Q9NP58",4.79744307013661e-07,2.60739481897216e-05,-6.55
"ABHD5","ABHD5","Q8WTS1",0.0469199288650025,0.126731042763223,-1.84
"ACE2","ACE2","Q9BYF1",0.13914042236661,0.280757397751027,2.6
"ACOT13","ACOT13","Q9NPJ3",0.164356835300723,0.317229251594635,-0.277
"ACTMAP","ACTMAP","Q5BKX5",0.150657664901109,0.296780113751598,-0.336
"ADAM9","ADAM9","Q13443",0.00167866626585089,0.0110659989957689,-0.857
"ADAMTS1","ADAMTS1","Q9UHI8",1.00288228814494e-09,2.13911915627425e-07,-1.78
"ADD1","ADD1","P35611",0.00173817412295231,0.0113586515823637,0.478
"ADGRG6","ADGRG6","Q86SQ4",0.0102349824373541,0.0413976751951071,-2.86
"AGA","AGA","P20933",0.00245154744438845,0.0144454651390063,-1.71
"AHDC1","AHDC1","Q5TGY3",2.25737960311008e-06,8.69361168681005e-05,1.36
"AIFM2","AIFM2","Q9BRQ8",0.00420623667554307,0.0215780745707114,-3.22
"AIRIM","AIRIM","Q9NX04",0.834875006433468,0.917274817091701,-0.0903
"AKAP7","AKAP7","Q9P0M2",0.336900560460543,0.523678752874683,-1.58
"AKIRIN2","AKIRIN2","Q53H80",0.00265093574903036,0.0152760323942545,1.16
"ALDH18A1","ALDH18A1","P54886",0.00537895144506863,0.0255730538578602,1.12
"ALDH1L2","ALDH1L2","Q3SY69",4.37439660478315e-05,0.000767091901348575,0.859
"ALG1","ALG1","Q9BT22",0.0117440364289007,0.045976531719952,0.844
"ALKBH8","ALKBH8","Q96BT7",0.112868755468795,0.241549050849738,-2.74
"AMFR","AMFR","Q9UKV5",2.61695749026051e-08,3.00912726272955e-06,1.45
"AMMECR1","AMMECR1","Q9Y4X0",0.977026248438254,0.989338319927192,0.0213
"AMOT","AMOT","Q4VCS5",2.05270319424425e-06,8.14009640439082e-05,1.69
"AMOTL1","AMOTL1","Q8IY63",2.30909376361611e-06,8.76699932027283e-05,1.45
"ANAPC16","ANAPC16","Q96DE5",0.0159306175695746,0.0574229918573694,0.623
"ANAPC4","ANAPC4","Q9UJX5",0.0184478238887502,0.0636461785171669,0.502
"ANGEL1","ANGEL1","Q9UNK9",0.544279061606636,0.720306176729993,-0.423
"ANKLE2","ANKLE2","Q86XL3",1.65888823907923e-06,6.99078085672707e-05,1.31
"ANXA4","ANXA4","P09525",0.0922454065920936,0.208142763675929,-0.264
"APLP1","APLP1","P51693",1.76498595366651e-07,1.22468723629843e-05,-7.8
"APLP2","APLP2","Q06481",1.62827807826172e-10,5.58334802018052e-08,-3.53
"APOA1","APOA1","P02647",4.78301945455459e-07,2.60739481897216e-05,-2.18
"APOC3","APOC3","P02656",4.43163693726977e-09,6.4854992196517e-07,-5.66
"APOE","APOE","P02649",1.84810168196216e-07,1.25003112925323e-05,-2.37
"APOH","APOH","P02749",7.52600605872557e-07,3.73931004732606e-05,-5.28
"APP","APP","P05067",1.23402201146498e-10,4.96632158514082e-08,-3.24
"ARB2A","ARB2A","Q8WUF8",0.00118333538502542,0.00861181420801956,1.11
"ARF3","ARF3","P61204",3.69785304043889e-08,3.76759735727754e-06,-12.8
"ARL5B","ARL5B","Q96KC2",0.989931509456103,0.99462722751369,0.0135
"ARL6IP1","ARL6IP1","Q15041",0.0022726904439652,0.0137112860227107,-1.39
"ARMC7","ARMC7","Q9H6L4",0.111400377443867,0.239764107501757,0.823
"ART5","ART5","Q96L15",2.15157397425025e-13,3.46360378374806e-10,-3.83
"ASPRV1","ASPRV1","Q53RT3",6.26319116745186e-05,0.00100980938437245,6.33
"ATAD5","ATAD5","Q96QE3",2.78881481192896e-09,4.67649383775338e-07,1.78
"ATF3","ATF3","P18847",0.0278711676355284,0.0857222118067895,-0.813
"ATF4","ATF4","P18848",0.107906982472136,0.233956432431713,-0.799
"ATP5MK","ATP5MK","Q96IX5",0.00997515924854389,0.0406737876350202,-0.63
"ATP6V0D2","ATP6V0D2","Q8N8Y2",0.580035585725833,0.746060158365725,0.342
"ATP6V1D","ATP6V1D","Q9Y5K8",2.27071021787982e-07,1.44585639241859e-05,-1.05
"ATR","ATR","Q13535",0.822869543193944,0.909416030916938,0.0927
"B3GALNT2","B3GALNT2","Q8NCR0",0.00487609814716831,0.0239754147752513,-4.22
"B4GALT5","B4GALT5","O43286",3.41078012475392e-09,5.49067384482885e-07,-3.28
"B4GALT6","B4GALT6","Q9UBX8",1.04604199605194e-05,0.000268996550358532,-3.41
"B9D1","B9D1","Q9UPM9",3.60574268124739e-09,5.60019095077639e-07,-5.31
"BACE1","BACE1","P56817",1.8277437342292e-05,0.000397608359913806,-3.61
"BCL2L12","BCL2L12","Q9HB09",0.640528563067784,0.79001140118489,0.272
"BCOR","BCOR","Q6W2J9",3.35885342384827e-07,1.95908776873585e-05,1.36
"BIRC2","BIRC2","Q13490",0.679361936694648,0.815416675880588,0.141
"BLM","BLM","P54132",7.20879538234363e-07,3.62647462703024e-05,1.04
"BLOC1S4","BLOC1S4","Q9NUP1",0.14108107770092,0.283756881254991,0.371
"BMP2","BMP2","P12643",0.930957533610845,0.970061893025921,0.115
"BMP4","BMP4","P12644",6.71785311175366e-07,3.44940781247011e-05,-5.79
"BMPR2","BMPR2","Q13873",0.0126889260352353,0.048730206903051,-3.25
"BNIP3","BNIP3","Q12983",4.51230996888386e-05,0.000786138158864636,-5.01
"BOD1","BOD1","Q96IK1",0.00703331257210645,0.0311735313286811,1.37
"BORCS6","BORCS6","Q96GS4",2.91721570873442e-07,1.76546385260176e-05,1.81
"BPGM","BPGM","P07738",0.336129158046455,0.52320703792611,-0.216
"BPNT2","BPNT2","Q9NX62",0.00489765314185837,0.0239820873900259,-0.701
"BRI3","BRI3","O95415",7.04121273773801e-10,1.61927775217295e-07,-6.47
"BRI3BP","BRI3BP","Q8WY22",1.92956427678437e-06,7.79081673280415e-05,-1.02
"BRWD3","BRWD3","Q6RI45",4.4911952619252e-08,4.24893102287185e-06,1.81
"BTBD9","BTBD9","Q96Q07",0.0559234060842146,0.143718868317958,3.77
"BTN2A3P","BTN2A3P","Q96KV6",0.172580645906773,0.327232419058566,2.57
"C1orf159","C1orf159","Q96HA4",0.8586392200407,0.930221723180528,0.18
"C1orf198","C1orf198","Q9H425",0.00425335405496946,0.0217643018362678,0.811
"C2CD2L","C2CD2L","O14523",3.63263393584784e-05,0.000661517433249757,1.73
"C4A","C4A","P0C0L4",2.88251910698335e-08,3.22241615168181e-06,-8.4
"C4BPA","C4BPA","P04003",1.16091122185439e-07,8.73287329411776e-06,-6.35
"C6orf89","C6orf89","Q6UWU4",0.0215042375055379,0.0709084832781952,-0.764
"C8orf88","C8orf88","P0DMB2",4.97414486940156e-05,0.000848239238428245,5.78
"C9orf72","C9orf72","Q96LT7",0.561730308608396,0.732275224851533,-1.07
"CABIN1","CABIN1","Q9Y6J0",0.00013064499800917,0.0016717990285784,1.22
"CALCOCO2","CALCOCO2","Q13137",7.30940257563997e-08,6.25887035439639e-06,-2.37
"CAMKK1","CAMKK1","Q8N5S9",0.70283274690937,0.830339172152285,-0.0884
"CARMIL2","CARMIL2","Q6F5E8",0.985399679582024,0.992537781735641,-0.00618
"CASTOR2","CASTOR2","A6NHX0",0.706796116748668,0.832890737355822,0.167
"CBY1","CBY1","Q9Y3M2",0.0149021049225176,0.0547418457151897,0.884
"CCDC106","CCDC106","Q9BWC9",5.65218224939046e-07,2.9734911715911e-05,1.61
"CCDC120","CCDC120","Q96HB5",2.17351911198284e-06,8.49255113220869e-05,5.89
"CCDC138","CCDC138","Q96M89",0.00431578204260374,0.0220082029147379,-4.29
"CCDC158","CCDC158","Q5M9N0",0.879565805402128,0.942065890576411,-0.0655
"CCDC18","CCDC18","Q5T9S5",0.478909866839142,0.663353212560361,0.276
"CCDC186","CCDC186","Q7Z3E2",0.019335352251086,0.0659170903299413,0.484
"CCDC28B","CCDC28B","Q9BUN5",0.0239449890319885,0.0764814352057443,0.769
"CCDC66","CCDC66","A2RUB6",5.31620979985871e-07,2.83378627013661e-05,3.98
"CCDC82","CCDC82","Q8N4S0",0.424924486823039,0.613052015493573,1.29
"CCK","CCK","P06307",1.21363802371714e-08,1.57557620208053e-06,4.72
"CCN1","CCN1","O00622",1.809480908454e-10,5.82580473285849e-08,-8.06
"CCN2","CCN2","P29279",4.09020726721005e-06,0.000136606133999061,-7.19
"CCNQ","CCNQ","Q8N1B3",0.684473940119627,0.818821005071886,0.516
"CCPG1","CCPG1","Q9ULG6",2.30058480705716e-07,1.44585639241859e-05,-2.08
"CD151","CD151","P48509",0.00144477124187674,0.00988017308909588,-1.1
"CD40","CD40","P25942",0.000292201201041861,0.0030624055562317,5.9
"CD81","CD81","P60033",0.785900422042087,0.882247210183648,0.0859
"CD84","CD84","Q9UIB8",0.00012861146274462,0.00166429849458432,-6.02
"CD99","CD99","P14209",0.228383048641045,0.40109186508687,-1.93
"CDC42EP1","CDC42EP1","Q00587",0.000483716914680198,0.00450108375290279,1.07
"CDCA7L","CDCA7L","Q96GN5",1.1296292685487e-06,5.25571444077948e-05,1.32
"CDK11A","CDK11A","Q9UQ88",3.66539817296744e-08,3.76759735727754e-06,-6.01
"CDKN2A","CDKN2A","P42771",0.00422864382616057,0.0216654068470824,0.639
"CEBPZOS","CEBPZOS","A8MTT3",0.0211249214282944,0.0699442585669855,-0.908
"CENPW","CENPW","Q5EE01",0.197455826531346,0.361620465927373,-0.47
"CENPX","CENPX","A8MT69",0.0440639014733964,0.121006599440248,0.714
"CEP170B","CEP170B","Q9Y4F5",2.04948352300005e-05,0.000431854431347661,1.11
"CEP41","CEP41","Q9BYV8",0.00802109943899307,0.0343962862996565,0.528
"CFAP97","CFAP97","Q9P2B7",0.000352930887324974,0.00353765966634958,1.33
"CHCHD4","CHCHD4","Q8N4Q1",0.310697947253365,0.495405661141508,-1.01
"CHKA","CHKA","P35790",0.254636352769652,0.432215943366286,1.53
"CHPF","CHPF","Q8IZ52",0.0639669074687871,0.157597679799426,2.68
"CHPF2","CHPF2","Q9P2E5",0.673214685589337,0.811172248107875,-0.37
"CHSY1","CHSY1","Q86X52",2.10544571714482e-07,1.38907644076218e-05,-1.73
"CISD1","CISD1","Q9NZ45",0.00011889652080513,0.00157660312349339,0.858
"CKS1B","CKS1B","P61024",0.00355134075473413,0.0190311196636851,0.86
"CKS2","CKS2","P33552",0.00262617597842622,0.0152094569663173,0.795
"CLK3","CLK3","P49761",5.78301132473724e-07,3.02256221771494e-05,1.47
"CLOCK","CLOCK","O15516",0.00122813313880766,0.00880385140111224,-5.26
"CLTCL1","CLTCL1","P53675",0.513722085108984,0.69366701275662,0.487
"CLU","CLU","P10909",4.04090731946311e-08,3.95910813105458e-06,-1.84
"CMTM6","CMTM6","Q9NX76",2.13706780667213e-05,0.000447949447289167,-5.25
"CNBP","CNBP","P62633",0.000590600800270667,0.00518401945624711,-2.77
"CNEP1R1","CNEP1R1","Q8N9A8",0.0471909251895771,0.127334816242342,1.89
"CNOT8","CNOT8","Q9UFF9",0.353005507643873,0.541930446504966,0.423
"CNOT9","CNOT9","Q92600",0.00440012761327991,0.0224014087029032,-1
"COL1A1","COL1A1","P02452",3.0474042533852e-07,1.8304893160819e-05,-3.61
"COL1A2","COL1A2","P08123",0.00621650975478895,0.0285109327728184,-1.54
"COL4A6","COL4A6","Q14031",7.4912194607082e-08,6.34703425676214e-06,1.53
"COLEC12","COLEC12","Q5KU26",0.761511676934124,0.868171346504996,-0.0687
"COMMD3","COMMD3","Q9UBI1",0.0116950832914701,0.0458294670949575,0.613
"COMMD5","COMMD5","Q9GZQ3",0.374122409130087,0.564139712490994,-0.775
"COMMD8","COMMD8","Q9NX08",0.431361400493683,0.619783633090621,0.317
"COMMD9","COMMD9","Q9P000",0.165514599263551,0.318688096844019,0.227
"COQ9","COQ9","O75208",2.2304145366323e-05,0.000462664200054962,1.11
"COX6A1","COX6A1","P12074",4.4652979468876e-05,0.000779635209858965,2.13
"CPNE8","CPNE8","Q86YQ8",1.64090084669671e-06,6.98815392331314e-05,-1.02
"CRABP2","CRABP2","P29373",0.247587443633006,0.423674277415658,-0.435
"CRBN","CRBN","Q96SW2",0.192356688957034,0.35445947559871,0.388
"CREM","CREM","Q03060",0.00011560760601824,0.00154829554216441,-5.79
"CRIM1","CRIM1","Q9NZV1",1.47791271955776e-06,6.64565334062592e-05,-2.64
"CRYGD","CRYGD","P07320",0.379606121458993,0.568667350013667,0.817
"CSPG4","CSPG4","Q6UVK1",2.15138331109554e-14,5.77216142366934e-11,9.2
"CSPG5","CSPG5","O95196",0.00146108625476496,0.00997281968700963,-5.25
"CUL7","CUL7","Q14999",0.880810241676596,0.942646142169249,0.0777
"CWC22","CWC22","Q9HCG8",1.56053616520968e-06,6.75705454492583e-05,1.02
"CYBA","CYBA","P13498",3.38479988196312e-10,9.12751050551288e-08,4.59
"CYBC1","CYBC1","Q9BQA9",0.0115991028076985,0.0455420382922756,0.616
"CYLD","CYLD","Q9NQC7",0.579745052283332,0.746022050492172,-0.262
"CYREN","CYREN","Q9BWK5",0.170397131650519,0.324246041121782,0.833
"CYSTM1","CYSTM1","Q9H1C7",0.0459679757368374,0.124956513578455,-3.14
"DACT1","DACT1","Q9NYF0",2.04507599153491e-07,1.3603980707326e-05,6.04
"DBP","DBP","Q10586",9.27217812719605e-08,7.31683938684324e-06,4.94
"DCBLD1","DCBLD1","Q8N8Z6",9.12804810052942e-08,7.27442169912488e-06,-6.71
"DCTD","DCTD","P32321",3.00153667902827e-05,0.000571143468782472,-1.25
"DDIT4","DDIT4","Q9NX09",0.0626322646788436,0.155931672873496,-0.962
"DDR2","DDR2","Q16832",4.25137432808284e-07,2.39295887879292e-05,-1.67
"DDX19A","DDX19A","Q9NUU7",0.755770245425382,0.865073194742449,-0.103
"DDX28","DDX28","Q9NUL7",0.10789640307986,0.233956432431713,0.286
"DGCR2","DGCR2","P98153",2.63331464201098e-07,1.61840307012477e-05,-1.93
"DGCR6","DGCR6","Q14129",0.0209655233579703,0.0695882463951766,1.15
"DGCR6L","DGCR6L","Q9BY27",0.0491286483516649,0.130939235292235,1.1
"DHDDS","DHDDS","Q86SQ9",0.314523282049025,0.499624609672904,1.87
"DHRS13","DHRS13","Q6UX07",1.19247629544756e-07,8.88726083523836e-06,5.92
"DKK1","DKK1","O94907",0.0467015595993644,0.126438228461246,-0.94
"DLX1","DLX1","P56177",0.746884973742993,0.859387233826235,0.407
"DLX6","DLX6","P56179",1.63434969123325e-11,9.39634333195462e-09,5.37
"DMTN","DMTN","Q08495",0.000713173408832454,0.00597821258730141,1.43
"DNA2","DNA2","P51530",0.13184102888494,0.269679400634023,0.491
"DNAJB5","DNAJB5","O75953",0.0690826545907493,0.166880638295601,-2.5
"DNAL4","DNAL4","O96015",0.97561111607314,0.98916802901409,-0.00722
"DNLZ","DNLZ","Q5SXM8",4.37752855669274e-13,5.03353247897426e-10,-6.3
"DOLK","DOLK","Q9UPQ8",5.79172773677318e-11,2.58986758629374e-08,7.16
"DPH7","DPH7","Q9BTV6",0.878456564105397,0.941417713138697,0.0992
"DPM3","DPM3","Q9P2X0",0.0531639216777406,0.138573965538904,-0.476
"EDIL3","EDIL3","O43854",0.000161588565248268,0.00197064600255047,-3.71
"EEF1AKMT1","EEF1AKMT1","Q8WVE0",0.60925015887425,0.765987898903286,0.471
"EEF1G","EEF1G","P26641",1.35343741322102e-06,6.15469928757966e-05,-1.03
"EFNA5","EFNA5","P52803",0.767996154126399,0.871921842497702,0.16
"EFR3A","EFR3A","Q14156",0.603354738904657,0.760953038772107,0.271
"EFR3B","EFR3B","Q9Y2G0",0.0149951263106309,0.0549616446604134,-3.99
"EGLN3","EGLN3","Q9H6Z9",0.00012101165514875,0.00159675870867589,6.09
"EGR1","EGR1","P18146",1.01623972095879e-06,4.81159618470427e-05,-4.11
"EHD3","EHD3","Q9NZN3",0.00148248208784454,0.0100526523378776,-3.26
"EIF1","EIF1","P41567",0.236501221795357,0.410258261687679,-0.397
"EIF1B","EIF1B","O60739",0.866821594145624,0.934384225428971,0.0414
"EIF3C","EIF3C","Q99613",0.708508723023546,0.833659781031962,-0.255
"EIF4ENIF1","EIF4ENIF1","Q9NRA8",0.00146367822616228,0.00997556819845908,0.802
"EIF5","EIF5","P55010",0.681715660665763,0.817357686980716,0.0741
"ELOF1","ELOF1","P60002",0.000524886102681862,0.00476601151777414,-2.79
"ELOVL1","ELOVL1","Q9BW60",0.0421150751938539,0.116852217503069,3.58
"ELOVL5","ELOVL5","Q9NYP7",0.00403790341620488,0.0208875865019493,-3.03
"ENDOD1","ENDOD1","O94919",0.972447028856988,0.988188046186792,0.00981
"ENKD1","ENKD1","Q9H0I2",0.00952507671013571,0.0392160319385587,1.08
"ENTPD6","ENTPD6","O75354",0.824202426178455,0.910139295967949,-0.123
"ENTR1","ENTR1","Q96C92",0.224346213616524,0.395826977948137,0.88
"EPHA4","EPHA4","P54764",8.411596293896e-06,0.000231866227977976,-1.01
"EPHA7","EPHA7","Q15375",3.42389730661561e-06,0.0001193028113461,-1.6
"ERAP1","ERAP1","Q9NZ08",0.370748946340876,0.561142961470047,0.312
"ERBB2","ERBB2","P04626",0.465934295557809,0.651974109354995,0.338
"ERC2","ERC2","O15083",5.11733648472713e-09,7.3552573867087e-07,5.88
"ERCC8","ERCC8","Q13216",1.01927777189933e-05,0.00026792695774814,6.78
"ERP44","ERP44","Q9BS26",0.000327389961307834,0.00335262315339282,-0.802
"ERRFI1","ERRFI1","Q9UJM3",1.03056245129955e-09,2.13911915627425e-07,6.87
"ESRRA","ESRRA","P11474",4.21714264772084e-06,0.000139113857260266,1.1
"ETAA1","ETAA1","Q9NY74",0.0223298777578597,0.0726488221798757,1.07
"EVI5","EVI5","O60447",0.184122107161527,0.342929611427996,0.456
"F13A1","F13A1","P00488",0.0241469408328371,0.0769432805872945,-2.69
"F5","F5","P12259",4.39552267022468e-10,1.10561131164495e-07,-3.54
"FAAP100","FAAP100","Q0VG06",0.0257412347310776,0.0807762956531945,-1.6
"FAM174A","FAM174A","Q8TBP5",5.33115690992216e-11,2.55606350218901e-08,-5.07
"FAM174B","FAM174B","Q3ZCQ3",1.70644146310918e-07,1.19436063796224e-05,6.19
"FAM199X","FAM199X","Q6PEV8",0.899520469192911,0.953918347369399,0.125
"FAM234B","FAM234B","A2RU67",5.08630366254344e-08,4.65223388406956e-06,-1.43
"FAM3C","FAM3C","Q92520",0.875165441466604,0.940140965587207,0.0432
"FAM89A","FAM89A","Q96GI7",2.45749226725707e-05,0.000502039473582543,1.55
"FANCE","FANCE","Q9HB96",0.19802525030745,0.36228094926727,0.334
"FAT1","FAT1","Q14517",3.40197931625527e-10,9.12751050551288e-08,-7.09
"FBLIM1","FBLIM1","Q8WUP2",0.770538599049051,0.873308878136843,-0.134
"FBRSL1","FBRSL1","Q9HCM7",3.26600594410339e-09,5.36491466205882e-07,2.01
"FBXO2","FBXO2","Q9UK22",0.0444151127847385,0.121804852744245,2.76
"FBXO46","FBXO46","Q6PJ61",0.000699731359037923,0.00587292774650286,-3.58
"FDX2","FDX2","Q6P4F2",0.0114917192222055,0.0452528610663072,4.12
"FGFR3","FGFR3","P22607",0.303987455966477,0.488479743077295,0.903
"FHL1","FHL1","Q13642",0.69026632472036,0.822251538800381,-0.249
"FIP1L1","FIP1L1","Q6UN15",3.82522092415017e-07,2.18363143393509e-05,1.74
"FKBPL","FKBPL","Q9UIM3",0.0297757170508805,0.0897957087083315,0.573
"FLT1","FLT1","P17948",8.86702083617022e-08,7.20915663740748e-06,-1.83
"FN1","FN1","P02751",0.0374404860751498,0.106902615260334,-0.853
"FOS","FOS","P01100",0.636868296698162,0.78742748388994,0.523
"FOXD3","FOXD3","Q9UJU5",0.132899746667758,0.271362268119936,2.5
"FPGS","FPGS","Q05932",1.84182282077583e-05,0.000399591155914411,-4.57
"FRMD4A","FRMD4A","Q9P2Q2",0.0818376498199916,0.189830329510407,2.78
"FTL","FTL","P02792",0.701803572063935,0.829610361513087,-0.153
"FUNDC1","FUNDC1","Q8IVP5",0.182575284775425,0.341596575350395,1.5
"FURIN","FURIN","P09958",0.581404862318923,0.746844515928026,0.339
"FUT8","FUT8","Q9BYC5",0.0221218868794083,0.0722349158184004,-1.22
"FXN","FXN","Q16595",1.5938620123515e-07,1.12535046819449e-05,1.96
"FZD7","FZD7","O75084",2.16616939238679e-05,0.000452870063358995,-3.84
"FZD8","FZD8","Q9H461",0.479870760770448,0.663979643726062,-1.54
"GALNT10","GALNT10","Q86SR1",0.350317805702876,0.538845101771044,-0.873
"GALNT13","GALNT13","Q8IUC8",0.0670711012370975,0.163295612177071,3.05
"GALNT4","GALNT4","Q8N4A0",0.0284917032905157,0.0872392304900759,-3.86
"GATA4","GATA4","P43694",0.206266358171307,0.372584810799113,0.346
"GCNT1","GCNT1","Q02742",0.000164827430594797,0.00199503156219176,-3.55
"GHITM","GHITM","Q9H3K2",0.107783511529845,0.233903878216157,0.447
"GINM1","GINM1","Q9NU53",2.41147301518588e-10,6.93212367829685e-08,-5.69
"GJA1","GJA1","P17302",1.33849555025003e-07,9.63434463140696e-06,-1.55
"GJC1","GJC1","P36383",0.00492909545914275,0.0240936055890264,-1.44
"GK","GK","P32189",1.40498176789159e-10,5.38509440464733e-08,6.2
"GLRX","GLRX","P35754",0.000196765122433005,0.00227552079089548,1.94
"GLRX2","GLRX2","Q9NS18",0.614955115100323,0.770392797111674,-0.248
"GLT8D1","GLT8D1","Q68CQ7",3.29605758297438e-06,0.00011635950651474,-1.68
"GNAZ","GNAZ","P19086",0.0175819294205778,0.0614756515665643,-3.02
"GNB2","GNB2","P62879",0.217601777835377,0.386540607999583,-0.412
"GNG5","GNG5","P63218",0.0106092117986233,0.0425266662186848,-1.13
"GOLGA7","GOLGA7","Q7Z5G4",6.72825228671645e-07,3.44940781247011e-05,-1.59
"GOLM1","GOLM1","Q8NBJ4",0.494982780193725,0.676420441049115,0.238
"GON4L","GON4L","Q3T8J9",0.0159548805925058,0.0574844196783899,0.579
"GORASP1","GORASP1","Q9BQQ3",0.489050595441146,0.67207926288301,-0.293
"GPBP1L1","GPBP1L1","Q9HC44",0.010164300686813,0.0411738581923291,0.706
"GPC3","GPC3","P51654",1.77533596383949e-06,7.29065263925717e-05,-1.53
"GPC6","GPC6","Q9Y625",0.00267729730838199,0.0153705891834284,0.579
"GPRC5C","GPRC5C","Q9NQ84",0.0163055135470574,0.0584341400446418,-2.49
"GPRIN3","GPRIN3","Q6ZVF9",0.0677094067816441,0.164501362869138,0.57
"GRAMD4","GRAMD4","Q6IC98",0.00789421454282506,0.0340355207450458,4.72
"GREB1L","GREB1L","Q9C091",0.084130626693785,0.193882504702665,1.66
"GRIP1","GRIP1","Q9Y3R0",1.52011585995785e-06,6.75705454492583e-05,3.84
"GSTA4","GSTA4","O15217",7.05361528277562e-05,0.00107960258369523,-4.49
"GTF3C1","GTF3C1","Q12789",0.042638393139469,0.118122303409388,0.318
"GTF3C6","GTF3C6","Q969F1",0.503893965669191,0.684946678995847,0.433
"GUF1","GUF1","Q8N442",0.00108852752864639,0.00814271196847096,0.673
"GXYLT2","GXYLT2","A0PJZ3",0.374785627846893,0.564771574075715,1.43
"H1-6","H1-6","P22492",0.000170497799357289,0.00203610799262139,4.94
"HABP2","HABP2","Q14520",1.38194657403929e-05,0.0003290913601906,-5.12
"HAUS5","HAUS5","O94927",0.833464076534821,0.916969977040565,0.0916
"HDAC8","HDAC8","Q9BY41",0.862697494872034,0.932686653623237,0.132
"HDHD5","HDHD5","Q9BXW7",0.0641597766451649,0.157830697499063,0.536
"HERPUD1","HERPUD1","Q15011",0.00106539937505992,0.00806716798669545,-4.69
"HERPUD2","HERPUD2","Q9BSE4",0.100962906214844,0.222461109259042,0.558
"HGFAC","HGFAC","Q04756",0.00018140068614429,0.00212531895600493,-1.98
"HIGD2A","HIGD2A","Q9BW72",0.0320415363067586,0.0944697163857511,-1.32
"HLA-A","HLA-A","P04439",4.01551422841398e-08,3.95910813105458e-06,-1.5
"HMGCS1","HMGCS1","Q01581",1.55574602034479e-09,2.98147612327506e-07,-1.56
"HMGN3","HMGN3","Q15651",0.376108155244099,0.565849447020514,1.04
"HMGN4","HMGN4","O00479",3.80936404923357e-05,0.000689024072635527,-4.87
"HMMR","HMMR","O75330",0.0180745342336874,0.0627637074475385,0.461
"HMOX1","HMOX1","P09601",3.67475070937307e-07,2.12121713495251e-05,-1.32
"HMX1","HMX1","Q9NP08",0.402152292086352,0.591326963646885,0.598
"HOXA6","HOXA6","P31267",0.000982770810452564,0.00760607908974297,-3.46
"HOXB13","HOXB13","Q92826",2.29604432753816e-07,1.44585639241859e-05,1.55
"HPCAL4","HPCAL4","Q9UM19",0.802471772060509,0.894239968616231,0.229
"HPRT1","HPRT1","P00492",0.423127888595975,0.61150488290962,-0.167
"HPX","HPX","P02790",2.3863030823616e-09,4.17551163259315e-07,-6.27
"HSF2","HSF2","Q03933",0.0197010479659357,0.066627619780595,-2.07
"HSPA6","HSPA6","P17066",9.12683645390537e-08,7.27442169912488e-06,-14.2
"HSPBAP1","HSPBAP1","Q96EW2",0.0533033484304228,0.138847460037694,2.97
"HTD2","HTD2","P86397",0.0263602433141525,0.0823335655551469,4.01
"HYAL2","HYAL2","Q12891",0.257808979794363,0.435488872689366,-1.75
"ICAM5","ICAM5","Q9UMF0",3.52463701464149e-05,0.000646236977923675,3.49
"IER3IP1","IER3IP1","Q9Y5U9",0.0606099542087183,0.152835063103375,1.67
"IFI35","IFI35","P80217",2.31725027484157e-07,1.44585639241859e-05,-6.07
"IFNAR1","IFNAR1","P17181",7.42044122500433e-05,0.00111848560711722,-1.34
"IFNAR2","IFNAR2","P48551",0.0179538285390194,0.0624311199765783,-3.5
"IFNGR1","IFNGR1","P15260",0.00647264129229255,0.0293511491615001,-2.33
"IFRD1","IFRD1","O00458",0.000618025246449002,0.00538364200072296,-1.08
"IFT27","IFT27","Q9BW83",1.7777591761626e-05,0.000392032427641995,-0.729
"IFT57","IFT57","Q9NWB7",0.0502929396607997,0.133204301194398,-2.92
"IFT81","IFT81","Q8WYA0",0.263364941941513,0.44208148892886,-0.18
"IGF2R","IGF2R","P11717",8.89269777813141e-05,0.00127816650743178,-0.959
"IKZF5","IKZF5","Q9H5V7",0.00662643293238718,0.0298969499286908,-4.36
"IL13RA1","IL13RA1","P78552",1.30629462492734e-07,9.55851403276381e-06,-2.07
"IL6ST","IL6ST","P40189",0.00287077622218172,0.0161586558128256,-1.59
"ISL1","ISL1","P61371",0.00191151738397529,0.0121243525796825,-2.07
"ISOC2","ISOC2","Q96AB3",0.000698202859480513,0.00587234568020758,-1.11
"ITIH2","ITIH2","P19823",4.08256895114337e-08,3.95910813105458e-06,-3.03
"ITIH4","ITIH4","Q14624",2.73057358615825e-06,9.94497140044694e-05,-5.06
"ITM2B","ITM2B","Q9Y287",1.77722191675902e-12,1.64383110995469e-09,-4.13
"ITM2C","ITM2C","Q9NQX7",4.0072267067387e-13,5.03353247897426e-10,-3.99
"JAG2","JAG2","Q9Y219",0.357302250995805,0.546587853698885,-1.38
"JARID2","JARID2","Q92833",1.02448244005659e-07,7.90267676528476e-06,1.56
"KCT2","KCT2","Q8NC54",2.35687261192801e-10,6.93212367829685e-08,-2.33
"KDM5B","KDM5B","Q9UGL1",2.05297499079555e-06,8.14009640439082e-05,1.55
"KIAA1671","KIAA1671","Q9BY89",2.64970789554964e-05,0.000527908387407898,1.42
