"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051241","negative regulation of multicellular organismal process","40/266","419/7628",0.0954653937947494,2.73763166867048,6.95419727937771,3.87578192532204e-09,8.19814250065723e-06,6.47063337744331e-06,"ADAMTS1/APOA1/APOC3/APOE/APOH/APP/BMP4/CD84/CHSY1/EPHA4/EPHA7/FZD7/GJA1/IFRD1/LDLR/MSX2/NDFIP1/NTN1/PRKAR1A/PROS1/PTGS2/PTPRS/SERPINF2/SPRY2/THBS1/VTN/ADIPOR1/ARRDC3/BMPR1A/CD83/CLSTN3/LPIN1/PCTP/RBX1/RGMA/RGN/ROBO1/STC2/TIMP1/VASN",40
"GO:0010466","negative regulation of peptidase activity","15/266","65/7628",0.230769230769231,6.6176980913823,8.64545408283071,4.01377845809412e-09,8.19814250065723e-06,6.47063337744331e-06,"APLP2/APP/GPC3/ITIH2/ITIH4/PTGS2/PZP/SERPIND1/SERPINF2/SPINT2/THBS1/TIMP3/VTN/RNF34/TIMP1",15
"GO:0040011","locomotion","45/266","523/7628",0.0860420650095602,2.46740177403355,6.60902855122525,9.76506962644029e-09,1.32967698080029e-05,1.04948800932585e-05,"ADAMTS1/APOA1/APOE/APOH/APP/BMP4/CCN1/CD151/COL1A1/DDR2/EPHA4/EPHA7/FAT1/FLT1/GCNT1/GJA1/HMOX1/NTN1/PHPT1/PLPP3/PTGS2/RNF7/SDCBP/SEMA3C/SERPIND1/SLIT2/SPINT2/SPRY2/THBS1/VTN/ACVR1B/ADAM10/ADIPOR1/ARRDC3/BMPR1A/CAV1/NRP2/PLGRKT/PTPRU/RGN/ROBO1/STX3/TGFBR3/TIMP1/TPBG",45
"GO:0007155","cell adhesion","47/266","571/7628",0.0823117338003503,2.36042821589877,6.42396862530273,1.78429506236569e-08,1.6181891801769e-05,1.27720503997471e-05,"APLP1/APOA1/APP/BMP4/CCN1/CCN2/CD151/CD84/COL1A1/CSPG5/DDR2/DGCR2/EDIL3/EPHA4/EPHA7/FAT1/FZD7/GCNT1/HABP2/HLA-A/LRP6/MFGE8/NDFIP1/NEO1/NTN1/PLPP3/PRKAR1A/PTPRS/SERPINF2/SPINT2/THBS1/VTN/ADAM10/CAV1/CD83/CDON/CHST10/CLSTN3/DDR1/DSC3/NRP2/PCDH7/PTPRU/ROBO1/STX3/TFRC/TPBG",47
"GO:1902533","positive regulation of intracellular signal transduction","43/266","498/7628",0.0863453815261044,2.4760998882749,6.47597910436282,1.98064771135484e-08,1.6181891801769e-05,1.27720503997471e-05,"APOA1/APOE/APP/BMP4/CCN2/CLU/DDR2/EPHA4/FLT1/FZD7/GJA1/HMOX1/IFI35/MAPK8/MFAP3/NDFIP1/NDFIP2/PLEKHF1/PROS1/RELL1/SDCBP/SERINC3/SERPINF2/SPRY2/THBS1/TNFRSF10B/UNC5B/ACVR2A/ARRDC3/BMPR1A/CAV1/CDON/DDR1/DSTYK/LAMTOR4/RBX1/ROBO1/SLC19A1/SLC20A1/TFRC/TGFBR3/TPBG/WBP2",43
"GO:0040012","regulation of locomotion","41/266","471/7628",0.0870488322717622,2.4962725284549,6.37199508707997,3.53932428674934e-08,2.40968995189518e-05,1.90192110356372e-05,"ADAMTS1/APOE/APOH/APP/BMP4/CCN1/CD151/COL1A1/DDR2/EPHA4/FAT1/FLT1/GCNT1/GJA1/HMOX1/NTN1/PHPT1/PLPP3/PTGS2/RNF7/SDCBP/SEMA3C/SLIT2/SPINT2/SPRY2/THBS1/VTN/ACVR1B/ADAM10/ADIPOR1/ARRDC3/BMPR1A/CAV1/NRP2/PTPRU/RGN/ROBO1/STX3/TGFBR3/TIMP1/TPBG",41
"GO:0051346","negative regulation of hydrolase activity","16/266","90/7628",0.177777777777778,5.09807852965748,7.43349835154479,6.44329924382568e-08,3.31020079169996e-05,2.61267667975958e-05,"APLP2/APOC3/APP/GPC3/ITIH2/ITIH4/PTGS2/PZP/SERPIND1/SERPINF2/SPINT2/THBS1/TIMP3/VTN/RNF34/TIMP1",16
"GO:0042127","regulation of cell population proliferation","52/266","694/7628",0.0749279538904899,2.14868583562653,6.03266025202174,6.48264536930226e-08,3.31020079169996e-05,2.61267667975958e-05,"ADAMTS1/APOE/APOH/APP/BMP4/CCN1/CCPG1/CLU/CNBP/DDR2/EGR1/EPHA4/FLT1/FZD7/GJA1/GPC3/HLA-A/HMOX1/IFI35/MEIS2/MSX2/NDFIP1/NTN1/OGN/PRKAR1A/PTGS2/SDCBP/SERPINF2/SPINT2/SPRY2/THBS1/ZNF16/ADAM10/BAMBI/BMPR1A/CAV1/CD320/CDON/DDR1/HMGA2/JTB/NRP2/PDCD2/PTPRU/RGN/RNF126/ROBO1/STX3/TFRC/TGFBR3/TIMP1/TPBG",52
"GO:0030162","regulation of proteolysis","32/266","324/7628",0.0987654320987654,2.83226584980971,6.40619855271702,7.47959044006233e-08,3.39490299418384e-05,2.6795304699311e-05,"APLP2/APOE/APP/CLU/EPHA4/EPHA7/GPC3/HERPUD1/ITIH2/ITIH4/PABIR1/PTGS2/PZP/RCHY1/SERPIND1/SERPINF2/SPINT2/THBS1/TIMP3/TRIB3/VTN/CAV1/GABARAP/GABARAPL2/PDCD2/PLGRKT/RBX1/RGMA/RGN/RNF34/ROBO1/TIMP1",32
"GO:0040017","positive regulation of locomotion","28/266","264/7628",0.106060606060606,3.0414673046252,6.41663428257104,1.1730715307737e-07,4.79199720321056e-05,3.78222957764194e-05,"ADAMTS1/APP/BMP4/CCN1/CD151/COL1A1/DDR2/EPHA4/FAT1/FLT1/HMOX1/NTN1/PHPT1/PLPP3/PTGS2/SDCBP/SEMA3C/SLIT2/SPRY2/THBS1/VTN/ACVR1B/ADAM10/CAV1/NRP2/STX3/TGFBR3/TPBG",28
