"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-72163","mRNA Splicing - Major Pathway","36/288","196/5359",0.183673469387755,3.41772959183673,8.21742014640376,3.14415509178963e-11,1.90461125908678e-08,1.81897345761512e-08,"CWC22/SRSF9/TFIP11/ACIN1/AQR/BCAS2/BUD13/CASC3/CHERP/CRNKL1/CWC15/DDX23/DHX35/DHX8/DHX9/GPATCH1/IK/LSM3/NSRP1/PPIG/PRP4K/PRPF40A/PRPF6/PRPF8/RBM25/SMU1/SNRNP200/SNRNP27/SNW1/SRRM2/SRSF12/SRSF3/SYF2/U2SURP/XAB2/ZNF830",36
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","43/288","271/5359",0.158671586715867,2.95250358753588,7.86056435920404,5.04532783864048e-11,1.90461125908678e-08,1.81897345761512e-08,"CWC22/FIP1L1/SRSF9/TFIP11/ACIN1/AQR/BCAS2/BUD13/CASC3/CHERP/CRNKL1/CWC15/DDX23/DHX35/DHX8/DHX9/FYTTD1/GPATCH1/IK/LSM3/NSRP1/NUP62/PCF11/PPIG/PRP4K/PRPF40A/PRPF6/PRPF8/RBM25/SARNP/SMU1/SNRNP200/SNRNP27/SNW1/SRRM2/SRSF12/SRSF3/SYF2/SYMPK/U2SURP/WDR33/XAB2/ZNF830",43
"R-HSA-72172","mRNA Splicing","36/288","204/5359",0.176470588235294,3.28370098039216,7.92484506864556,1.04115865348583e-10,2.62024927793935e-08,2.50243395662385e-08,"CWC22/SRSF9/TFIP11/ACIN1/AQR/BCAS2/BUD13/CASC3/CHERP/CRNKL1/CWC15/DDX23/DHX35/DHX8/DHX9/GPATCH1/IK/LSM3/NSRP1/PPIG/PRP4K/PRPF40A/PRPF6/PRPF8/RBM25/SMU1/SNRNP200/SNRNP27/SNW1/SRRM2/SRSF12/SRSF3/SYF2/U2SURP/XAB2/ZNF830",36
"R-HSA-8953854","Metabolism of RNA","61/288","663/5359",0.0920060331825038,1.71201504105916,4.66694498518606,1.02154978862898e-05,0.00192817522603721,0.00184147790844962,"CWC22/FIP1L1/NAT10/SRSF9/TFIP11/UTP20/ACIN1/ADARB1/AQR/BCAS2/BUD13/C2orf49/CASC3/CHERP/CRNKL1/CWC15/DDX23/DDX47/DHX35/DHX8/DHX9/FYTTD1/GEMIN8/GPATCH1/IK/LSM3/NOP14/NSRP1/NUP62/PCF11/PELP1/PPIG/PRORP/PRP4K/PRPF40A/PRPF6/PRPF8/RBM25/RTRAF/SARNP/SENP3/SMU1/SNRNP200/SNRNP27/SNW1/SRRM2/SRSF12/SRSF3/SYF2/SYMPK/TEX10/TFB1M/TNKS1BP1/U2SURP/UTP11/UTP25/WDR3/WDR33/WDR46/XAB2/ZNF830",61
"R-HSA-4655427","SUMOylation of DNA methylation proteins","6/288","14/5359",0.428571428571429,7.97470238095238,6.22682466141973,4.76218550665785e-05,0.00719090011505335,0.00686757278328553,"PCGF2/PHC3/CBX2/DNMT3A/PHC1/PHC2",6
"R-HSA-3247509","Chromatin modifying enzymes","23/288","187/5359",0.122994652406417,2.28864007724302,4.2743882995521,0.000144637062966992,0.0137026522425699,0.0130865343829353,"KDM5B/MSL1/PHF8/ARID1A/ARID1B/ATF2/DNMT3A/HMG20B/KDM4D/KMT2D/MBD3/MEAF6/MRGBP/NCOR1/NCOR2/NSD1/NSD3/PHF2/PRDM16/SAP130/SETD2/SUV39H2/VPS72",23
"R-HSA-4839726","Chromatin organization","23/288","187/5359",0.122994652406417,2.28864007724302,4.2743882995521,0.000144637062966992,0.0137026522425699,0.0130865343829353,"KDM5B/MSL1/PHF8/ARID1A/ARID1B/ATF2/DNMT3A/HMG20B/KDM4D/KMT2D/MBD3/MEAF6/MRGBP/NCOR1/NCOR2/NSD1/NSD3/PHF2/PRDM16/SAP130/SETD2/SUV39H2/VPS72",23
"R-HSA-212436","Generic Transcription Pathway","56/288","647/5359",0.0865533230293663,1.6105529795638,3.94660487196222,0.000145193666146436,0.0137026522425699,0.0130865343829353,"BLM/COX6A1/DLX6/ESRRA/KDM5B/PCGF2/PHC3/PIDD1/PLAGL1/PVALB/RARB/RBL1/SFN/TAF13/TAF4B/ZNF799/ARID1A/ARID1B/ATAD2/ATF2/AUTS2/AXIN1/BARD1/BRD2/CBX2/CCNT2/COX7A2/ELF2/EXO1/HDAC4/HEY1/JUNB/KMT2D/MAF/MAX/MBD3/MEAF6/MED4/MEN1/NCOR1/NCOR2/NR2F6/PHC1/PHC2/PITX2/PPM1D/RBBP8/RBM14/SKI/SNW1/TEAD1/TFAP2D/TNKS1BP1/TPX2/ZNF200/ZNF446",56
"R-HSA-2173793","Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer","8/288","36/5359",0.222222222222222,4.13503086419753,4.49744262169895,0.00051022937211516,0.0428025751052162,0.0408780257191678,"RBL1/CCNT2/JUNB/MEN1/NCOR1/NCOR2/SKI/SNW1",8
"R-HSA-2990846","SUMOylation","17/288","140/5359",0.121428571428571,2.25949900793651,3.59847916433379,0.00123491848756637,0.093236345811261,0.0890441225245225,"BLM/PCGF2/PHC3/CBX2/DNMT3A/HDAC4/INCENP/NCOR2/NUP62/PHC1/PHC2/RNF168/SAFB/SATB1/SENP2/TOP2A/TOP2B",17
