"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
"","SLIM2 GO CC","GO:0005694","chromosome","1207","155","28.651","1.9106","0.934","2.19543164536438e-17","16.6584800800823","5.48857911341095e-14","5.48857911341095e-14","4.61120870025059e-13","CENPK,ATAD5,SPRTN,NUMA1,ZNF446,MCM3AP,MSL1,BRD4,BCL11A,TOP2B,MAFK,DPF3,ADNP2,KIF22,ELF2,RNF169,MEIS1,DHX9,SOX5,MYBBP1A,NSD3,BEND3,MEAF6,ERCC8,CDCA5,BRD2,ALX4,DDX23,AHDC1,TEAD1,BCAS2,NCOR2,MEN1,PCGF2,FANCG,VPS72,PITX2,ATF2,SETD5,INCENP,SUV39H2,IK,FOXB1,BRD3,TNRC18,PDS5B,NUSAP1,DNMT3A,NKX2-1,PELP1,MXD4,NAT10,DBP,CDCA2,MAF,ARID1B,RFX1,INIP,TET2,TASOR,NSD1,BLM,GLYR1,PHF2,HES4,PRP4K,ING1,NIPBL,SP2,MCM10,CREB5,BCL11B,CIC,CHD1,NR2F6,MCM9,MXI1,POLD3,NOL8,CBX2,PRR14,EMX1,SMARCA1,TFAP2D,HMG20B,SETD2,TEF,INO80E,HDAC4,PRKDC,CHD2,ESCO1,JARID2,MRGBP,RARB,KDM4D,ZBTB4,SPC24,TET1,MKI67,BATF3,SMARCA5,ZC3H6,POGZ,PPHLN1,PHC2,ZNF174,CECR2,KDM5B,APC,DLX6,FAAP20,MAX,ORC1,SATB1,RNF168,MBTD1,MBD3,NUCKS1,CENPF,ZNF830,RBBP8,BACH2,TIMELESS,SAP130,AFF4,SREBF2,TOP2A,NCOR1,ZNHIT1,PHC1,ESRRA,BOD1L1,NKX6-1,SS18,RIF1,TNKS1BP1,HMBOX1,H1-6,HEY1,TMPO,CHD6,RAD51AP1,DNTTIP2,ATRX,TFAP4,ATXN7L3,HOXB13,TFIP11,CUX1,SGO2,JUNB,ARID1A,RBL1,SLF2","29479,25752,25356,8059,21036,6946,27905,13575,13221,11990,6782,17427,23803,6391,3317,26961,7000,2750,11201,7546,12767,23040,25674,3439,14626,1103,450,17347,25230,11714,975,7673,7010,12929,3588,11644,9005,784,25566,6058,17287,5958,3799,1104,11962,20418,18538,2978,11825,30134,13906,29830,2697,14623,6776,18040,9982,24994,25941,30314,14234,1058,24434,8920,24149,17346,6062,28862,11207,18043,16844,13222,14214,1915,7977,21484,7534,20932,23387,1552,28458,3340,11097,15581,5002,18420,11722,26905,14063,9413,1917,24645,6196,15866,9865,25498,23847,26913,29484,7107,28915,11101,24762,18801,19369,3183,12963,1840,18039,583,2919,26428,6913,8487,10541,26661,19866,6918,29923,1857,28291,9891,14078,11813,29813,17869,11290,11989,7672,21688,3182,3471,31792,7839,11340,23207,19081,26137,4720,4880,11875,19057,16956,24013,886,11745,25416,5112,17165,2557,30812,6205,11110,9893,17814"
"","SLIM2 GO CC","GO:0005654","nucleoplasm","2904","284","52.495","1.455","0.541","5.2361677920638e-16","15.280986445009","1.30904194801595e-12","6.54520974007975e-13","5.49893287038074e-12","ATAD2B,NUP62,ATF2,GPATCH1,VIRMA,ELF2,PIDD1,LSM3,KPNA5,SON,CCDC106,SNRNP200,ZC3H14,CTDSPL2,MDN1,BARD1,SRSF12,NOC3L,BCAS2,SP2,CDCA2,C2orf49,MXD4,TEAD1,INO80E,FIP1L1,CASC3,DPF3,GLYR1,MYNN,PRP4K,PCBD1,ZNF830,INIP,GTF2IRD1,RFX1,BCOR,ZNF318,DHX8,NAT10,PTPN18,FANCG,CDCA7L,SETD2,MKI67,RBM27,JPT1,ZNF609,JARID2,ING1,PPHLN1,FNBP4,CENPF,SREK1,METTL17,ZNHIT1,SS18,JAZF1,KATNBL1,RAI1,TOP2A,CHD6,ACIN1,SMARCA5,BUD13,REXO1,SCAF11,PLAGL1,MRFAP1,BACH2,PRORP,SAFB,CLK2,TASOR2,ZDHHC5,PHC1,MRGBP,AFF4,INCENP,ZNF174,UBN1,S100PBP,DACT1,PHF8,APC,BCL11A,CABIN1,PRDM16,ZBTB39,SKI,PDIK1L,PRR14,CHERP,TCF20,BOD1L1,TDRD3,SNRNP27,MAFK,L3MBTL3,KDM4D,SRSF9,NUMA1,SAPCD2,BEND3,PPIG,RBBP8,ESCO1,PIMREG,TFIP11,CSPG4,RIF1,TRAF3IP1,NR2F6,MCM10,UTP20,MAX,PRPF40B,DNTTIP2,PDS5B,CCDC85C,CWC15,TASOR,BLM,MPLKIP,NSD1,HMG20B,SREBF2,RNF168,HMBOX1,RAD51AP1,TFAP4,SCAI,SPRTN,SNW1,SYMPK,PSRC1,XAB2,TIMELESS,PHF2,MTG1,RBM25,NCOR1,BRD2,CHD1,TEX10,CIZ1,DHX9,SMU1,UTP25,HNRNPH3,VEZT,MED4,MXI1,CARMIL1,DDX47,ZC3H13,ATXN7L3,TET1,PCF11,HEY1,AQR,SATB1,SPTY2D1,MEAF6,HOXB13,TAF4B,UBN2,PHC3,KDM5B,TOP2B,FYTTD1,PPM1D,TBRG1,ARID1B,MAGI1,PRKDC,EGLN3,ALX4,MBD3,SRRM2,CLK3,GEMIN8,SYF2,PHC2,WDR33,NFU1,JUNB,KIF22,RBM15B,SPEN,SAP130,CRNKL1,CIC,ATRX,SFXN4,CENPK,KIF20A,SMARCA1,SGO2,SECISBP2,PRPF8,VPS72,BCL9L,YIPF5,CLASRP,KMT2D,TNRC18,SLF2,MCM3AP,ORC1,TICRR,CWC22,DDX23,RBL1,TET2,PRPF6,CUX1,SETD5,SENP3,ESRRA,BATF3,ATAD2,MEN1,RSRC1,UTP11,NCOA6,SIMC1,GTSE1,U2SURP,CCNT2,NOL4L,NUCKS1,RBM14,TRIM21,FAAP20,SUV39H2,POLD3,NKX2-1,MSL1,NSRP1,TPX2,ARID1A,CBX2,CCNL1,EXO1,PITX2,RBM18,SENP2,NCOR2,RNF4,ERCC8,NSD3,NIPBL,DNMT3A,ASXL2,PELP1,IK,ANKRD11,NTHL1,YLPM1,WAC,POGZ,ADARB1,RTRAF,BRD4,HDAC4,SRSF3,SPC24,PAPOLG,MYBBP1A,TAF13,RNF169,CCDC92,WDR3,PCGF2,SARNP,PRPF40A,NOP14,PWWP3A,ZBTB4,WDR46,RARB,CDCA5,DHX35","29230,8066,784,24658,24500,3317,16491,17874,6398,11183,30181,30859,20509,26936,18302,952,21220,24034,975,11207,14623,28772,13906,11714,26905,19124,17040,17427,24434,14955,17346,8646,28291,24994,4661,9982,20893,13578,2749,29830,9649,3588,30777,18420,7107,29243,14569,29003,6196,6062,19369,19752,1857,17882,19280,21688,11340,28917,26199,9834,11989,19057,17066,11101,28199,24616,10784,9046,24549,14078,19958,10520,2069,23484,18472,3182,15866,17869,6058,12963,12506,25768,17748,20672,583,13221,24187,14000,29014,10896,18981,28458,16930,11631,31792,20612,30240,6782,23035,25498,10791,8059,28055,23040,14650,9891,24645,25483,17165,2466,23207,17861,7977,18043,17897,6913,25031,24013,20418,35459,26939,30314,1058,16002,14234,5002,11290,26661,26137,16956,11745,26709,25356,16696,22935,24472,14089,11813,8920,32159,23244,7672,1103,1915,25988,16744,2750,18247,28440,5043,18258,17903,7534,21581,18682,20368,25416,29484,30097,4880,29513,10541,26818,25674,5112,11538,21931,15682,18039,11990,25407,9277,29551,18040,946,9413,14661,450,6918,16639,2071,26044,19824,3183,25651,16287,6205,6391,24303,17575,29813,15762,14214,886,16088,29479,9787,11097,30812,30972,17340,11644,23688,24877,17731,7133,11962,17814,6946,8487,28704,29322,17347,9893,25941,15860,2557,25566,17862,3471,28915,30123,7010,24152,24329,15936,24779,13698,30855,1600,16106,29923,14219,11312,26428,17287,20932,11825,27905,25305,1249,11110,1552,20569,3511,9005,28413,23116,7673,10067,3439,12767,28862,2978,23805,30134,5958,21316,8028,17798,17327,18801,226,23169,13575,14063,10785,26913,14982,7546,11546,26961,29563,12755,12929,24432,16463,16821,29641,23847,13923,9865,14626,15861"
"","Direct GO Cellular Component","GO:0000785","chromatin","558","89","16.451","2.373","1.247","2.67182807047694e-15","14.5731914917225","6.67957017619235e-12","2.22652339206412e-12","1.8706050918918e-11","HEY1,MXI1,BATF3,SATB1,NSD1,TFAP4,GLYR1,ARID1A,HOXB13,KIF22,ELF2,KDM5B,FOXB1,PRKDC,SLF2,SP2,SUV39H2,PCGF2,FAAP20,DDX23,MEIS1,CHD2,ESRRA,POGZ,RIF1,RFX1,BACH2,TEAD1,CHD6,BRD3,NCOR2,DBP,JARID2,BRD4,NKX6-1,ZNF446,SMARCA1,NUCKS1,NKX2-1,CDCA5,SMARCA5,MXD4,MAF,CENPF,EMX1,ADNP2,MBD3,RARB,ARID1B,SREBF2,TFAP2D,ZNF174,ZC3H6,CREB5,ATF2,FANCG,CIC,MEN1,SETD5,BRD2,ALX4,TEF,TNRC18,DPF3,HDAC4,DLX6,JUNB,NIPBL,PITX2,KDM4D,SOX5,HMBOX1,TMPO,ESCO1,TIMELESS,RAD51AP1,MAX,CHD1,NR2F6,PDS5B,NSD3,RBL1,HES4,SS18,SPRTN,MAFK,NCOR1,CUX1,H1-6","4880,7534,28915,10541,14234,11745,24434,11110,5112,6391,3317,18039,3799,9413,17814,11207,17287,12929,26428,17347,7000,1917,3471,18801,23207,9982,14078,11714,19057,1104,7673,2697,6196,13575,7839,21036,11097,29923,11825,14626,11101,13906,6776,1857,3340,23803,6918,9865,18040,11290,15581,12963,24762,16844,784,3588,14214,7010,25566,1103,450,11722,11962,17427,14063,2919,6205,28862,9005,25498,11201,26137,11875,24645,11813,16956,6913,1915,7977,20418,12767,9893,24149,11340,25356,6782,7672,2557,4720"
"","Direct GO Cellular Component","GO:0005654","nucleoplasm","2777","268","49.538","1.4358","0.522","6.70490581453692e-14","13.1736073184111","1.67622645363423e-10","4.19056613408558e-11","3.52068807193744e-10","AFF4,RAI1,UBN1,ACIN1,DACT1,PHF8,ATRX,BCL11A,CABIN1,CLK3,TASOR2,ZDHHC5,PHC2,JAZF1,TDRD3,MRGBP,MAFK,JARID2,L3MBTL3,KDM4D,SRSF9,NUMA1,SAPCD2,BEND3,PPIG,RBBP8,ESCO1,PRDM16,ZBTB39,SKI,PDIK1L,PRR14,CHERP,TCF20,BOD1L1,UTP20,SNRNP27,DNTTIP2,PDS5B,CWC15,TASOR,CCNT2,PIMREG,TFIP11,CUX1,TRAF3IP1,ESRRA,SPRTN,MCM10,SYMPK,MAX,PSRC1,XAB2,TIMELESS,PHF2,MTG1,RBM25,NCOR1,BRD2,MPLKIP,NSD1,HMG20B,SREBF2,HMBOX1,RIF1,TFAP4,SCAI,MED4,SNW1,DDX47,ZC3H13,ADARB1,PCF11,HEY1,ERCC8,TEX10,CIZ1,DNMT3A,RNF168,UTP25,RAD51AP1,TOP2B,IK,FYTTD1,VEZT,PPM1D,MXI1,TBRG1,ARID1B,MAGI1,PRKDC,EGLN3,ALX4,AQR,SATB1,SPTY2D1,MEAF6,HOXB13,TAF4B,PHC3,SMU1,NFU1,KDM5B,RBM15B,SPEN,CRNKL1,CIC,BARD1,MBD3,SRRM2,ATF2,GEMIN8,SYF2,ELF2,UBN2,YIPF5,WDR33,KMT2D,JUNB,TNRC18,SLF2,MCM3AP,ORC1,TICRR,CWC22,DDX23,RBL1,SFXN4,CENPK,KIF20A,SMARCA1,SECISBP2,PRPF8,VPS72,BCL9L,ATAD2,CLASRP,UTP11,NCOA6,GTSE1,U2SURP,CENPF,TET2,PRPF6,DHX8,SGO2,SENP3,NSRP1,BATF3,ARID1A,MEN1,CBX2,CCNL1,EXO1,PITX2,RBM18,SENP2,NCOR2,RNF4,NOL4L,NUCKS1,RBM14,TRIM21,SUV39H2,SETD5,NKX2-1,FANCG,MSL1,ANKRD11,TPX2,WAC,POGZ,APC,RTRAF,BRD4,CLK2,NSD3,NIPBL,PHC1,FAAP20,PELP1,POLD3,PCGF2,INCENP,SARNP,PRPF40A,NOP14,NTHL1,PWWP3A,ZBTB4,WDR46,RARB,CDCA5,DHX35,HDAC4,SRSF3,SPC24,PAPOLG,MYBBP1A,TAF13,CCDC92,ASXL2,LSM3,WDR3,CCDC106,SNRNP200,CTDSPL2,MDN1,BLM,ATAD2B,NUP62,CSPG4,GPATCH1,VIRMA,NR2F6,RNF169,FIP1L1,PIDD1,DPF3,KPNA5,GLYR1,MYNN,PRP4K,PCBD1,ZNF830,INIP,GTF2IRD1,RFX1,SRSF12,NOC3L,BCAS2,SP2,C2orf49,TEAD1,INO80E,SETD2,CASC3,JPT1,ZNF609,PPHLN1,FNBP4,CHD1,BCOR,ZNF318,DHX9,CDCA2,PTPN18,MXD4,CHD6,CDCA7L,SMARCA5,MKI67,BUD13,REXO1,SCAF11,PLAGL1,MRFAP1,BACH2,PRORP,SAFB,SREK1,METTL17,ZNHIT1,SS18,KATNBL1,NAT10,TOP2A,HNRNPH3","17869,9834,12506,17066,17748,20672,886,13221,24187,2071,23484,18472,3183,28917,20612,15866,6782,6196,23035,25498,10791,8059,28055,23040,14650,9891,24645,14000,29014,10896,18981,28458,16930,11631,31792,17897,30240,24013,20418,26939,30314,1600,25483,17165,2557,17861,3471,25356,18043,22935,6913,24472,14089,11813,8920,32159,23244,7672,1103,16002,14234,5002,11290,26137,23207,11745,26709,17903,16696,18682,20368,226,30097,4880,3439,25988,16744,2978,26661,28440,16956,11990,5958,25407,18258,9277,7534,29551,18040,946,9413,14661,450,29513,10541,26818,25674,5112,11538,15682,18247,16287,18039,24303,17575,15762,14214,952,6918,16639,784,26044,19824,3317,21931,24877,25651,7133,6205,11962,17814,6946,8487,28704,29322,17347,9893,16088,29479,9787,11097,30972,17340,11644,23688,30123,17731,24329,15936,13698,30855,1857,25941,15860,2749,30812,17862,25305,28915,11110,7010,1552,20569,3511,9005,28413,23116,7673,10067,16106,29923,14219,11312,17287,25566,11825,3588,27905,21316,1249,17327,18801,583,23169,13575,2069,12767,28862,3182,26428,30134,20932,12929,6058,24432,16463,16821,8028,29641,23847,13923,9865,14626,15861,14063,10785,26913,14982,7546,11546,29563,23805,17874,12755,30181,30859,26936,18302,1058,29230,8066,2466,24658,24500,7977,26961,19124,16491,17427,6398,24434,14955,17346,8646,28291,24994,4661,9982,21220,24034,975,11207,28772,11714,26905,18420,17040,14569,29003,19369,19752,1915,20893,13578,2750,14623,9649,13906,19057,30777,11101,7107,28199,24616,10784,9046,24549,14078,19958,10520,17882,19280,21688,11340,26199,29830,11989,5043"
"","Direct GO Biological Processes","GO:0006325","chromatin organization","332","60","11.091","2.6888","1.427","6.78858754915848e-13","12.1682205767382","1.69714688728962e-9","3.39429377457924e-10","2.85170290181336e-9","SMARCA1,SMARCA5,CABIN1,NSD3,NSD1,JARID2,CBX2,UBN2,PCGF2,HMG20B,UBN1,MRGBP,CHD1,SUV39H2,PHF2,DPF3,PHF8,MBTD1,ARID1B,DNMT3A,CHD6,SAFB,PWWP3A,VPS72,NCOR1,CECR2,PHIP,NUCKS1,MEN1,RNF169,BRD3,ZNHIT1,WAC,KDM4D,CHD2,TET1,RBL1,ARID1A,BRD4,BCOR,BEND3,ING1,L3MBTL3,SATB1,RNF168,TOP2A,HDAC4,SETD2,SETD5,ATRX,MEAF6,MLLT6,MSL1,KMT2D,KDM5B,TET2,ATXN7L3,DHX9,TDRD3,BRD2","11097,11101,24187,12767,14234,6196,1552,21931,12929,5002,12506,15866,1915,17287,8920,17427,20672,19866,18040,2978,19057,10520,29641,11644,7672,1840,15673,29923,7010,26961,1104,21688,17327,25498,1917,29484,9893,11110,13575,20893,23040,6062,23035,10541,26661,11989,14063,18420,25566,886,25674,7138,27905,7133,18039,25941,25416,2750,20612,1103"
"","Direct GO Biological Processes","GO:0006397","mRNA processing","354","58","10.721","2.4376","1.285","1.07798453420354e-10","9.96738746990832","2.69496133550885e-7","4.49160222584808e-8","3.77360239033231e-7","SRSF12,AQR,SNRNP200,LSM3,GPATCH1,DHX35,SRSF3,SNRNP27,TFIP11,RSRC1,RBM38,DHX8,RAMAC,SYMPK,NBDY,BUD13,SCAF11,SNW1,SYF2,PCF11,CWC22,IK,SREK1,BCAS2,ZC3H13,RBM15B,SMU1,PAPOLG,SFSWAP,CLASRP,PRPF6,CRNKL1,PRPF40A,DHX9,ARB2A,SRSF9,ZNF830,DDX23,ACIN1,VIRMA,GEMIN8,RBM25,NOVA2,PRPF8,SRRM2,DDX47,WDR33,ADARB1,FIP1L1,SON,RPUSD3,NSRP1,PRP4K,CASC3,PRPF40B,CWC15,XAB2,HNRNPH3","21220,29513,30859,17874,24658,15861,10785,30240,17165,24152,15818,2749,31022,22935,50713,28199,10784,16696,19824,30097,29322,5958,17882,975,20368,24303,18247,14982,10790,17731,15860,15762,16463,2750,25365,10791,28291,17347,17066,24500,26044,23244,7887,17340,16639,18682,25651,226,19124,11183,28437,25305,17346,17040,25031,26939,14089,5043"
"","SLIM2 GO BP","GO:0006397","mRNA processing","425","64","11.83","2.2405","1.164","4.28894763689226e-10","9.36764925596367","0.00000107223690922307","1.35810714163995e-7","0.0000011410085083953","RBPMS2,IK,ZC3H13,ZC3H14,GPATCH1,PRPF6,BUD13,NOVA2,CRNKL1,AQR,VIRMA,PRP4K,CWC22,SFSWAP,RPUSD3,RBM15B,BARD1,ARB2A,DHX9,CLASRP,RSRC1,PRPF40A,FIP1L1,PCF11,SNW1,SON,SRRM2,TFIP11,RBM38,SRSF12,ZNF830,SRSF3,ADARB1,BCAS2,LSM3,PRPF40B,DHX35,SRSF9,NBDY,SMU1,NSRP1,HNRNPH3,CASC3,GEMIN8,PRPF8,RAMAC,WDR33,SAFB,SCAF11,SYMPK,SYF2,SNRNP200,XAB2,DDX23,SREK1,RBM14,DHX8,SNRNP27,DDX47,CWC15,PAPOLG,ACIN1,RBM6,RBM25","19098,5958,20368,20509,24658,15860,28199,7887,15762,29513,24500,17346,29322,10790,28437,24303,952,25365,2750,17731,24152,16463,19124,30097,16696,11183,16639,17165,15818,21220,28291,10785,226,975,17874,25031,15861,10791,50713,18247,25305,5043,17040,26044,17340,31022,25651,10520,10784,22935,19824,30859,14089,17347,17882,14219,2749,30240,18682,26939,14982,17066,9903,23244"
"","Direct GO Cellular Component","GO:0016607","nuclear speck","319","53","9.797","2.4719","1.306","4.34594285324784e-10","9.36191598871091","0.00000108648571331196","1.35810714163995e-7","0.0000011410085083953","S100PBP,SRSF12,CASC3,SYF2,SMU1,IK,PPIG,SPRTN,MSL1,ZC3H13,RSRC1,YLPM1,SRSF3,RBM14,RBM25,SARNP,PRPF6,CWC15,CLK3,SRSF9,SAP130,SREK1,SNW1,VIRMA,CARMIL1,KIF22,HDAC4,NSRP1,SRRM2,WAC,CCNL1,BARD1,SON,NOC3L,ZNF830,PRPF8,PRPF40B,RBM27,FANCG,PRP4K,ZC3H14,CCDC85C,ACIN1,RBM15B,PRPF40A,BRD2,BCAS2,FYTTD1,TFIP11,CRNKL1,CWC22,CLK2,VPS72","25768,21220,17040,19824,18247,5958,14650,25356,27905,20368,24152,17798,10785,14219,23244,24432,15860,26939,2071,10791,29813,17882,16696,24500,21581,6391,14063,25305,16639,17327,20569,952,11183,24034,28291,17340,25031,29243,3588,17346,20509,35459,17066,24303,16463,1103,975,25407,17165,15762,29322,2069,11644"
"","Direct GO Biological Processes","GO:0008380","RNA splicing","285","49","9.057","2.558","1.355","6.21935415778247e-10","9.20625471181627","0.00000155483853944562","1.7275983771618e-7","0.00000145143515337916","PRPF40B,CWC15,DHX35,CASC3,SRSF3,AQR,SNRNP200,LSM3,RBM38,BUD13,DHX8,SRSF9,TFIP11,RSRC1,CWC22,SREK1,SNRNP27,IK,PPIG,SYF2,GEMIN8,ARB2A,SNW1,SFSWAP,ZC3H13,RBM15B,PRPF40A,ZNF830,BCAS2,DHX9,PRP4K,PRPF6,CRNKL1,RBM25,CLASRP,NOVA2,DDX23,ACIN1,VIRMA,SMU1,NSRP1,SON,SRRM2,DDX47,XAB2,SRSF12,PRPF8,HNRNPH3,SCAF11","25031,26939,15861,17040,10785,29513,30859,17874,15818,28199,2749,10791,17165,24152,29322,17882,30240,5958,14650,19824,26044,25365,16696,10790,20368,24303,16463,28291,975,2750,17346,15860,15762,23244,17731,7887,17347,17066,24500,18247,25305,11183,16639,18682,14089,21220,17340,5043,10784"
"","DRSC COMPLEAT2 protein complex (literature)","HsC11393","Spliceosome","140","31","5.73","3.2944","1.72","2.14771642979809e-9","8.66802306054404","0.00000536929107449522","5.36929107449522e-7","0.00000451098931167696","AQR,U2SURP,CWC15,SNRNP27,PRPF6,IK,XAB2,PRP4K,SPEN,LSM3,TRIR,BCAS2,SRRM2,DHX8,SMU1,SRSF3,SNW1,SYF2,CWC22,DDX23,SNRNP200,CRNKL1,BUD13,PRPF8,TFIP11,DHX9,PRPF40A,SRSF9,ACIN1,VIRMA,RBM25","29513,30855,26939,30240,15860,5958,14089,17346,17575,17874,28424,975,16639,2749,18247,10785,16696,19824,29322,17347,30859,15762,28199,17340,17165,2750,16463,10791,17066,24500,23244"
"","REACTOME pathway","R-HSA-72163","mRNA Splicing - Major Pathway","173","34","6.285","2.924","1.548","9.4248114166569e-9","8.02572733093911","0.0000235620285416422","0.00000214200259469475","0.0000179959526801417","SRSF12,DHX9,BCAS2,SRRM2,SMU1,RBM25,SRSF9,SNRNP27,SYF2,BUD13,DDX23,SNRNP200,CWC15,IK,CHERP,TFIP11,XAB2,DHX35,PRP4K,CASC3,LSM3,ZNF830,DHX8,AQR,U2SURP,GPATCH1,CWC22,SRSF3,PRPF8,PRPF6,NSRP1,PPIG,SNW1,CRNKL1","21220,2750,975,16639,18247,23244,10791,30240,19824,28199,17347,30859,26939,5958,16930,17165,14089,15861,17346,17040,17874,28291,2749,29513,30855,24658,29322,10785,17340,15860,25305,14650,16696,15762"
"","REACTOME pathway","R-HSA-72172","mRNA Splicing","180","34","6.285","2.8103","1.491","2.68322471611797e-8","7.57134295428174","0.0000670806179029491","0.00000559005149191243","0.0000469646033002811","SRSF3,PRPF8,PRPF6,CWC22,PPIG,NSRP1,SNW1,CRNKL1,DHX9,SRSF12,BCAS2,SRRM2,SMU1,SRSF9,RBM25,SNRNP27,SYF2,BUD13,DDX23,SNRNP200,CWC15,IK,CHERP,TFIP11,XAB2,PRP4K,DHX35,CASC3,LSM3,DHX8,ZNF830,AQR,U2SURP,GPATCH1","10785,17340,15860,29322,14650,25305,16696,15762,2750,21220,975,16639,18247,10791,23244,30240,19824,28199,17347,30859,26939,5958,16930,17165,14089,17346,15861,17040,17874,2749,28291,29513,30855,24658"
"","Direct GO Cellular Component","GO:0005694","chromosome","493","66","12.2","1.9918","0.994","3.03113139404187e-8","7.51839523734715","0.0000757782848510467","0.0000058290988346959","0.0000489729503861809","BLM,MKI67,BOD1L1,POGZ,NUSAP1,RIF1,HMBOX1,CDCA5,SMARCA5,DNMT3A,SGO2,TIMELESS,NIPBL,MBD3,CENPK,SPRTN,RBBP8,IK,RNF169,RAD51AP1,SETD2,NSD3,MEAF6,TNKS1BP1,TMPO,CENPF,NUMA1,TASOR,PPHLN1,SETD5,SUV39H2,ESCO1,MCM3AP,EMX1,CDCA2,DDX23,AFF4,TET2,NSD1,GLYR1,BRD2,ATRX,INCENP,MCM9,PDS5B,DNTTIP2,NOL8,PRR14,ZNF830,BRD3,ERCC8,SPC24,PRP4K,BRD4,BCL11A,ZBTB4,TET1,PHF2,H1-6,FAAP20,HMG20B,AHDC1,MBTD1,NUCKS1,CBX2,SMARCA1","1058,7107,31792,18801,18538,23207,26137,14626,11101,2978,30812,11813,28862,6918,29479,25356,9891,5958,26961,16956,18420,12767,25674,19081,11875,1857,8059,30314,19369,25566,17287,24645,6946,3340,14623,17347,17869,25941,14234,24434,1103,886,6058,21484,20418,24013,23387,28458,28291,1104,3439,26913,17346,13575,13221,23847,29484,8920,4720,26428,5002,25230,19866,29923,1552,11097"
"","REACTOME pathway","R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","238","40","7.394","2.5005","1.322","4.84706139605106e-8","7.31452147918433","0.000121176534901276","0.00000865546677866261","0.0000727185723113227","ZNF830,PCF11,FIP1L1,DHX9,BCAS2,SRRM2,PRPF6,WDR33,SRSF9,SNRNP27,SARNP,CRNKL1,RBM25,DDX23,SNRNP200,SRSF12,NUP62,GPATCH1,NSRP1,IK,CHERP,SYF2,XAB2,PRP4K,CASC3,BUD13,CWC15,DHX35,DHX8,AQR,U2SURP,TFIP11,SMU1,SRSF3,PRPF8,FYTTD1,LSM3,CWC22,PPIG,SNW1","28291,30097,19124,2750,975,16639,15860,25651,10791,30240,24432,15762,23244,17347,30859,21220,8066,24658,25305,5958,16930,19824,14089,17346,17040,28199,26939,15861,2749,29513,30855,17165,18247,10785,17340,25407,17874,29322,14650,16696"
"","HGNC Gene Group","HGNC-G-1510","Spliceosomal C complex","50","16","2.957","4.761","2.251","8.0433862486529e-8","7.09456107569247","0.000201084656216323","0.0000134056437477548","0.000112627002006883","CWC22,SNW1,DHX8,SYF2,GPATCH1,BCAS2,DHX35,SNRNP200,PPIG,CRNKL1,XAB2,PRPF8,ZNF830,SRRM2,AQR,CWC15","29322,16696,2749,19824,24658,975,15861,30859,14650,15762,14089,17340,28291,16639,29513,26939"
"","Direct GO Biological Processes","GO:0000398","mRNA splicing, via spliceosome","167","31","5.73","2.7618","1.466","1.68666363344312e-7","6.77297151889573","0.00042166590836078","0.0000263541192725487","0.000221413122715281","CWC15,RBM6,SRRM2,PRPF40B,PRPF40A,IK,PRPF8,RSRC1,DHX35,DDX23,SNW1,TFIP11,GPATCH1,DHX8,BCAS2,SYF2,XAB2,NOVA2,SNRNP27,CRNKL1,BUD13,AQR,SNRNP200,PRPF6,SMU1,HNRNPH3,RBM14,LSM3,CWC22,PRP4K,CASC3","26939,9903,16639,25031,16463,5958,17340,24152,15861,17347,16696,17165,24658,2749,975,19824,14089,7887,30240,15762,28199,29513,30859,15860,18247,5043,14219,17874,29322,17346,17040"
"","EBI complex portal","CPX-26479","Major Post-catalytic P Spliceosome complex","35","13","2.403","5.5261","2.466","1.85047302495958e-7","6.73271724139653","0.000462618256239896","0.0000272128386023468","0.000228627620243362","SNRNP200,SYF2,PRPF8,CRNKL1,CWC22,CASC3,CWC15,XAB2,SNW1,DHX8,AQR,SRRM2,BCAS2","30859,19824,17340,15762,29322,17040,26939,14089,16696,2749,29513,16639,975"
"","DRSC COMPLEAT2 protein complex (literature)","HsC10093","U2-type spliceosomal complex","89","21","3.882","3.5105","1.812","2.81609837324399e-7","6.55035217829029","0.000704024593310998","0.0000391124774061665","0.000328601979450352","SNW1,CRNKL1,IK,TFIP11,PRPF40A,PRPF8,SYF2,BUD13,SNRNP200,CWC15,AQR,PRPF6,XAB2,CASC3,LSM3,DHX8,SRRM2,SMU1,BCAS2,PRPF40B,CWC22","16696,15762,5958,17165,16463,17340,19824,28199,30859,26939,29513,15860,14089,17040,17874,2749,16639,18247,975,25031,29322"
"","DRSC COMPLEAT2 protein complex (literature)","HsC10101","Spliceosome, C complex","37","13","2.403","5.2274","2.386","3.93989220025066e-7","6.40451566078274","0.000984973050062665","0.0000510279633463912","0.000428709477766308","CASC3,CWC22,SRRM2,BCAS2,CWC15,SNW1,PPIG,SYF2,PRPF8,XAB2,SNRNP200,AQR,CRNKL1","17040,29322,16639,975,26939,16696,14650,19824,17340,14089,30859,29513,15762"
